unit_id,year,n_checklist,n_loc
653100,2019,5,5
653000,2021,5,5
653000,2011,8,6
653000,2013,15,6
653000,2023,22,12
653000,2017,2,1
653000,2007,4,2
653000,2012,4,3
653000,2004,2,2
653000,2018,1,1
653100,2023,65,40
653000,2019,2,2
653100,2011,19,10
653100,2010,4,3
653100,2021,3,3
653100,2013,7,4
653100,2022,6,3
653100,2012,4,4
653000,2020,1,1
653100,2004,2,2
653100,2007,3,3
653100,2018,1,1
653100,2005,3,1
653200,2023,20,14
653200,2017,2,2
653200,2012,1,1
659003,2021,1,1
653200,2019,6,6
652900,2021,7,7
542500,2023,7,7
542500,2021,7,7
542500,2018,4,3
542500,2017,8,7
542500,2020,3,3
542500,2004,12,5
542500,2019,6,6
653200,2022,1,1
652900,2020,11,11
652900,2014,8,3
652900,2023,20,18
654000,2015,4,4
652900,2010,1,1
654000,2023,132,95
659008,2018,1,1
654000,2019,40,29
654000,2018,40,23
659002,2014,4,2
654000,2021,64,55
659002,2019,5,4
654000,2014,3,3
654000,2022,13,9
652900,2019,5,5
652700,2021,8,4
652700,2018,7,6
652700,2023,19,18
652700,2019,15,10
652900,2013,3,2
659002,2023,3,3
654000,2010,2,1
654000,2012,5,5
654000,2016,2,2
654000,2017,3,2
542500,2007,4,4
542500,2005,4,4
652700,2015,1,1
652700,2012,2,1
652700,2010,1,1
652700,2022,1,1
652700,2017,1,1
652700,2006,1,1
654000,2007,2,1
542500,2010,3,3
542500,2012,2,2
542500,2009,2,2
542500,2016,3,2
542500,2022,1,1
542500,2014,1,1
542500,2006,1,1
652700,2020,1,1
542500,2002,2,2
652900,2011,2,1
653200,2015,1,1
540200,2019,36,24
652900,2012,3,3
542500,2013,1,1
653200,2002,1,1
654200,2019,69,47
654200,2023,106,59
652900,2022,2,1
540200,2017,7,4
654200,2021,51,31
654200,2018,77,28
654200,2013,1,1
654200,2022,33,17
654200,2017,35,13
652800,2020,7,3
540200,2005,6,6
540200,2023,63,35
652800,2023,21,15
652800,2021,24,23
652800,2019,35,25
652800,2016,10,10
540200,2004,8,4
654200,2010,3,3
652800,2014,11,10
540200,2007,48,19
652800,2012,7,7
652800,2022,3,2
652800,2018,80,40
652800,2010,1,1
652800,2015,4,4
654000,2020,3,2
652800,2005,3,3
652800,2008,4,2
654200,2020,2,2
654200,2015,4,3
654200,2007,1,1
650200,2021,49,23
650200,2011,4,2
659010,2018,16,7
650200,2022,19,6
650200,2023,62,25
650200,2018,35,12
659010,2021,8,7
659010,2023,16,5
650200,2019,76,22
650200,2020,43,10
650200,2007,2,2
650200,2017,27,9
659010,2019,2,1
659010,2022,3,1
659010,2015,1,1
654000,2013,1,1
650200,2006,2,2
659010,2014,1,1
652800,2017,8,4
650200,2016,9,4
540200,2020,98,34
540200,2018,74,37
540200,2021,88,47
540200,2022,2,2
659006,2018,2,1
650200,2014,2,2
