grid_id,species,province,year,date_source,disc_year,pub_year,lag,longitude,latitude,in_pa,in_pa_national,nearest_pa_name,nearest_pa_level,nearest_pa_type,nearest_pa_year,dist_to_pa_km,ax,ay,prov_geo,grid_id2,in_pa_b0,in_pa_b1_1,in_pa_b3,in_pa_b5,method,cause,method_grp,bio1,bio12,elev,warming_rate,climate_velocity,climate_exposure,unit_county,provgeo_county,unit_prefecture,provgeo_prefecture,valid_county,valid_prefecture
,Abroscopus albogularis,Hebei,2024,discovery_date,2024,2024,0,118.28,39.26,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,54.7561025809148,1122934.13408717,4291491.09672106,Hebei,,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,130209,Hebei,130200,Hebei,TRUE,TRUE
,Abroscopus albogularis,Shanghai,2013,discovery_date,2013,2018,5,121.97,30.88,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,24.3707625014144,1593127.00795219,3406942.27116725,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,,,,,FALSE,FALSE
,Accipiter trivirgatus,Liaoning,2017,discovery_date,2017,2021,4,121.14,38.73,TRUE,TRUE,蛇岛老铁山,national,野生动物,1980,0,1372520.86964502,4268198.51099927,Liaoning,,TRUE,TRUE,TRUE,TRUE,"","",unknown,,,,,,,210212,Liaoning,210200,Liaoning,TRUE,TRUE
,Alaudala cheleensis,Fujian,2019,discovery_date,2019,2024,5,117.2,23.66,FALSE,FALSE,南澎列岛,national,海洋海岸,1991,29.8596428864163,1246649.54542518,2542547.50882702,Fujian,,FALSE,FALSE,FALSE,FALSE,观察和拍摄,"",birdwatching,,,,,,,350624,Fujian,350600,Fujian,TRUE,TRUE
,Aquila fasciata,Liaoning,2015,discovery_date,2015,2021,6,121.14,38.73,TRUE,TRUE,蛇岛老铁山,national,野生动物,1980,0,1372520.86964502,4268198.51099927,Liaoning,,TRUE,TRUE,TRUE,TRUE,"","",unknown,,,,,,,210212,Liaoning,210200,Liaoning,TRUE,TRUE
,Asio flammeus,Guangxi,2004,discovery_date,2004,2005,1,107.08,22.14,FALSE,FALSE,广西弄岗,national,森林生态,1978,9.92547046909489,216566.620623879,2300917.49843676,Guangxi,,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,451422,Guangxi,451400,Guangxi,TRUE,TRUE
,Certhia familiaris,Jiangsu,2024,discovery_date,2024,2024,0,120.69,33.37,TRUE,FALSE,大洞山,local,森林生态,2001,0,1429881.20390348,3664043.41704423,"",,TRUE,TRUE,TRUE,TRUE,"","",unknown,,,,,,,320904,Jiangsu,320900,Jiangsu,TRUE,TRUE
,Cygnus cygnus,Guangxi,2016,discovery_date,2016,2017,1,108.16,21.58,FALSE,FALSE,广西防城金花茶国家级自然保护区,national,野生植物,1986,17.3760941159484,330936.23817804,2242544.80267786,Guangxi,,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,,,,,FALSE,FALSE
,Dendrocitta formosae,Shanghai,2012,discovery_date,2012,2018,6,121.97,30.93,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,19.4267886013402,1592171.1945236,3412479.56305388,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,,,,,FALSE,FALSE
,Egretta eulophotes,Tianjin,2004,discovery_date,2004,2006,2,117.81,39.26,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,15.0400348331203,1083416.611745,4286268.5967879,Tianjin,,FALSE,FALSE,FALSE,FALSE,整理照片时发现，观察拍摄,分布变化,birdwatching,,,,,,,120116,Tianjin,120000,Tianjin,TRUE,TRUE
,Elanus caeruleus,Liaoning,2019,discovery_date,2019,2021,2,121.14,38.73,TRUE,TRUE,蛇岛老铁山,national,野生动物,1980,0,1372520.86964502,4268198.51099927,Liaoning,,TRUE,TRUE,TRUE,TRUE,"","",unknown,,,,,,,210212,Liaoning,210200,Liaoning,TRUE,TRUE
