province,year,effort_status,effort_status_v2,in_scope,mainland,n_visits,n_observers,n_birding_days,effort_record,cnt_visits_gap,cnt_visits_zero,cnt_observers_gap,cnt_observers_zero,cnt_days_gap,cnt_days_zero,cnt_record_gap,cnt_record_zero,cnt_visits_imp,cnt_observers_imp,cnt_days_imp,cnt_record_imp,eff_visits_gap_z,eff_observers_gap_z,eff_days_gap_z,eff_record_gap_z,eff_visits_zero_z,eff_observers_zero_z,eff_days_zero_z,eff_record_zero_z,eff_visits_imp_z,eff_observers_imp_z,eff_days_imp_z,eff_record_imp_z
Anhui,2002,observed,observed,TRUE,TRUE,7,4,3,1,7,7,4,4,3,3,1,1,7,4,3,1,-1.02293721874924,-0.922604182047855,-1.49682026429775,-2.03963135901536,-0.911539564332537,-0.822273718271565,-1.32266316448085,-1.82555947970323,-0.965800113541406,-0.868683600929724,-1.41546408203647,-1.99060085165189
Anhui,2003,structural_zero,coverage_gap,TRUE,TRUE,0,0,0,0,,0,,0,,0,,0,3.89897948556636,2.16227766016838,2.46410161513776,3.69041575982343,,,,,-1.88010705610098,-1.81385487990754,-2.1577102454236,-2.14752752023567,-1.2021359849742,-1.15981817948963,-1.5063444860126,-1.56835540676146
Anhui,2004,observed,observed,TRUE,TRUE,2,1,2,10,2,2,1,1,2,2,10,10,2,1,2,10,-1.50198524305641,-1.51177291970582,-1.68260759815345,-1.18979082665745,-1.36839267147747,-1.38680411816374,-1.49595109060814,-1.03370110062705,-1.43847185640698,-1.45095275804953,-1.59722488998872,-1.14610996187103
Anhui,2005,observed,observed,TRUE,TRUE,3,1,3,38,3,3,1,1,3,3,38,38,3,1,3,38,-1.36147808749039,-1.51177291970582,-1.49682026429775,-0.558838611842519,-1.23439539492202,-1.38680411816374,-1.32266316448085,-0.445796924402774,-1.29983489573373,-1.45095275804953,-1.41546408203647,-0.519129514351198
Anhui,2006,observed,observed,TRUE,TRUE,4,2,4,40,4,4,2,2,4,4,40,40,4,2,4,40,-1.25249227057504,-1.25106160003567,-1.35271241248606,-0.533907724611662,-1.13045903245707,-1.13699543663922,-1.18825060652627,-0.422566999258132,-1.19229971467644,-1.19329455140507,-1.27447944635674,-0.494355564017013
Anhui,2007,observed,observed,TRUE,TRUE,1,1,1,43,1,1,1,1,1,1,43,43,1,1,1,43,-1.70001895623155,-1.51177291970582,-1.94446013823328,-0.498703889400957,-1.5572512255115,-1.38680411816374,-1.74018670495223,-0.389765019562165,-1.63386967792605,-1.45095275804953,-1.85340236054882,-0.459373332658499
Anhui,2008,observed,observed,TRUE,TRUE,4,2,4,57,4,4,2,2,4,4,57,57,4,2,4,57,-1.25249227057504,-1.25106160003567,-1.35271241248606,-0.360987755428882,-1.13045903245707,-1.13699543663922,-1.18825060652627,-0.261444857758165,-1.19229971467644,-1.19329455140507,-1.27447944635674,-0.322524104965654
Anhui,2009,observed,observed,TRUE,TRUE,9,8,6,74,9,9,8,8,6,6,74,74,9,8,6,74,-0.913951401833887,-0.544661335606264,-1.13541600876665,-0.232847211873212,-0.807603201867589,-0.460135993370887,-0.985573479006369,-0.142046971624864,-0.858264932484116,-0.495166731192549,-1.0618924573221,-0.195190190514566
Anhui,2010,observed,observed,TRUE,TRUE,5,4,4,74,5,5,4,4,4,4,74,74,5,4,4,74,-1.16344437431526,-0.922604182047855,-1.35271241248606,-0.232847211873212,-1.04553684088799,-0.822273718271565,-1.18825060652627,-0.142046971624864,-1.10443707421466,-0.868683600929724,-1.27447944635674,-0.195190190514566
Anhui,2011,observed,observed,TRUE,TRUE,12,10,11,58,12,12,10,10,11,11,58,58,12,10,11,58,-0.785809748068945,-0.415631436887809,-0.787327850282387,-0.352465943665275,-0.685398517354234,-0.336501971967897,-0.66090400966539,-0.253504464480852,-0.731828884853294,-0.367647863391276,-0.721348332964026,-0.314055936968505
