species,province,year,date_source,disc_year,pub_year,lag,longitude,latitude,in_pa,in_pa_national,nearest_pa_name,nearest_pa_level,nearest_pa_type,nearest_pa_year,dist_to_pa_km,grid_id
Abroscopus albogularis,Hebei,2024,discovery_date,2024,2024,0,118.28,39.26,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,54.7561025809148,
Abroscopus albogularis,Jiangsu,2017,discovery_date,2017,2019,2,118.55,32.06,FALSE,FALSE,雨花台,local,地质遗迹,1984,59.8272172190843,1281
Abroscopus albogularis,Ningxia,2021,discovery_date,2021,2024,3,106.18,35.67,TRUE,TRUE,六盘山,national,森林生态,1982,0,1796
Abroscopus albogularis,Shanghai,2013,discovery_date,2013,2018,5,121.97,30.88,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,24.3707625014144,
Abroscopus albogularis,Tibet,2016,discovery_date,2016,2017,1,95.39,29.41,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,724
Accipiter gularis,Xinjiang,2010,discovery_date,2010,2013,3,88.36,36.47,FALSE,FALSE,新疆阿尔金山国家级自然保护区,national,野生动物,1983,1.04886545272989,2059
Accipiter soloensis,Gansu,2012,discovery_date,2012,2015,3,106.2,33.7,FALSE,FALSE,甘肃小陇山,national,野生动物,1982,3.55708853558078,1415
Accipiter soloensis,Heilongjiang,2018,discovery_date,2018,2020,2,125.25,49.09,FALSE,FALSE,茂山林场,local,野生动物,1992,67.3624144286867,3702
Accipiter soloensis,Inner Mongolia,2020,discovery_date,2020,2023,3,105.66,38.11,FALSE,FALSE,巴丹吉林沙漠湖泊,provincial,湿地生态,1999,26.5883135292869,2165
Accipiter trivirgatus,Anhui,2006,discovery_date,2006,2010,4,117.82,30.23,FALSE,FALSE,古牛绛,national,森林生态,1982,31.7867611093113,981
Accipiter trivirgatus,Beijing,2013,discovery_date,2013,2013,0,116.17,39.99,FALSE,FALSE,北京百花山,national,森林生态,1985,39.4641603747012,2557
Accipiter trivirgatus,Gansu,2020,discovery_date,2020,2022,2,105.32,32.85,TRUE,FALSE,裕河金丝猴,provincial,野生动物,2002,0,1257
Accipiter trivirgatus,Henan,2008,discovery_date,2008,2008,0,114.25,31.95,TRUE,TRUE,河南董寨鸟类,national,野生动物,1982,0,1196
Accipiter trivirgatus,Liaoning,2017,discovery_date,2017,2021,4,121.14,38.73,TRUE,TRUE,蛇岛老铁山,national,野生动物,1980,0,
Accipiter virgatus,Anhui,2011,discovery_date,2011,2012,1,117.12,31.77,FALSE,FALSE,安徽鹞落坪国家级自然保护区,national,森林生态,1991,117.235863897106,1202
Acridotheres cristatellus,Jilin,2016,discovery_date,2016,2023,7,125.55,43.8,FALSE,FALSE,吉林伊通火山群国家级自然保护区,national,地质遗迹,1983,53.3300881970432,3296
Acridotheres tristis,Chongqing,2010,discovery_date,2010,2010,0,106.53,29.45,FALSE,FALSE,白市驿,local,野生动物,1998,6.37072704025424,745
Acridotheres tristis,Guizhou,2017,discovery_date,2017,2018,1,106.52,26.68,FALSE,FALSE,贵州金沙冷水河,local,森林生态,1992,95.5307167371564,372
Acridotheres tristis,Jiangxi,2019,discovery_date,2019,2022,3,115.35,26.3,FALSE,FALSE,江西白云山-螺滩,local,森林生态,2007,52.9912541734883,432
Acridotheres tristis,Shandong,2022,discovery_date,2022,2025,3,121.01,36.6,FALSE,FALSE,山东青岛崂山,provincial,森林生态,2000,47.5470833523664,2116
Acrocephalus agricola,Inner Mongolia,2020,discovery_date,2020,2023,3,101.12,42.06,TRUE,TRUE,内蒙古额济纳胡杨林,national,荒漠生态,1986,0,2849
Acrocephalus bistrigiceps,Guizhou,2015,discovery_date,2015,2017,2,108.81,26.39,FALSE,FALSE,剑河鹅掌楸,local,野生植物,1986,34.9851564914808,377
Acrocephalus bistrigiceps,Tibet,2023,discovery_date,2023,2024,1,95.33,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,723
Acrocephalus concinens,Shanghai,2005,discovery_date,2005,2006,1,121.4,31.62,FALSE,FALSE,上海崇明东滩鸟类,national,野生动物,1998,42.5382637324477,1287
Acrocephalus orientalis,Tibet,2023,discovery_date,2023,2024,1,95.33,29.33,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,723
Acrocephalus tangorum,Hubei,2020,discovery_date,2020,2020,0,114.41,30.44,FALSE,FALSE,木兰湖岛湿地,local,湿地生态,1998,29.46322470541,975
Acrocephalus tangorum,Zhejiang,2023,discovery_date,2023,2024,1,119.75,30.24,FALSE,FALSE,杏梅尖,local,森林生态,1991,24.3227655017104,985
Aegithalos bonvaloti,Shaanxi,2006,discovery_date,2006,2007,1,107.75,34.16,FALSE,FALSE,陕西太白山,national,森林生态,1965,8.2433869346847,1496
Aegithalos caudatus,Shandong,2023,discovery_date,2023,2024,1,117.87,38.26,TRUE,TRUE,山东滨州贝壳堤岛与湿地国家级自然保护区,national,海洋海岸,1999,0,2342
Aegithalos caudatus,Tianjin,2016,discovery_date,2016,2020,4,117.59,39.3,TRUE,TRUE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,0,2486
Aegithalos concinnus,Gansu,2017,discovery_date,2017,2020,3,107.67,35.73,FALSE,FALSE,陕西子午岭,national,森林生态,1999,74.7979706433608,1799
Aegithalos concinnus,Hebei,2022,discovery_date,2022,2025,3,115.66,37.74,FALSE,FALSE,河北衡水湖湿地和鸟类,national,湿地生态,2000,6.14460680172575,2182
Aegithalos fuliginosus,Hunan,2009,publication_minus_median_lag,2011,2010,1,110.6,30.05,TRUE,TRUE,湖南壶瓶山,national,森林生态,1982,0,824
Aegithalos fuliginosus,Shanxi,2016,discovery_date,2016,2016,0,111.75,35.27,FALSE,FALSE,山西历山,national,森林生态,1983,16.2692054980184,1733
Aethopyga christinae,Anhui,2017,discovery_date,2017,2018,1,117.48,30,FALSE,FALSE,古牛绛,national,森林生态,1982,1.75416515127222,909
Aethopyga christinae,Hubei,2003,discovery_date,2003,2004,1,110.54,30.07,TRUE,TRUE,五峰后河,national,森林生态,1985,0,824
Aethopyga gouldiae,Henan,2016,discovery_date,2016,2017,1,111.32,33.96,FALSE,FALSE,河南伏牛山,national,森林生态,1982,16.7843327843769,1502
Agropsar sturninus,Tibet,2020,discovery_date,2020,2023,3,94.81,29.96,TRUE,TRUE,西藏雅鲁藏布大峡谷,national,森林生态,1985,0,866
Aix galericulata,Tibet,2021,discovery_date,2021,2021,0,91.18,29.65,FALSE,FALSE,西藏拉鲁湿地,provincial,湿地生态,1999,7.01102728334994,859
Aix galericulata,Xinjiang,2015,discovery_date,2015,2015,0,82.94,37.26,FALSE,FALSE,新疆中昆仑,provincial,野生动物,2001,172.448077917851,2282
Alauda gulgula,Inner Mongolia,2020,discovery_date,2020,2023,3,101.9,38.99,FALSE,FALSE,民勤连古城,national,荒漠生态,1982,51.221908485964,2315
Alaudala cheleensis,Fujian,2019,discovery_date,2019,2024,5,117.2,23.66,FALSE,FALSE,南澎列岛,national,海洋海岸,1991,29.8596428864163,
Alcedo hercules,Fujian,2006,discovery_date,2006,2006,0,117.3,26.51,TRUE,TRUE,福建龙栖山,national,森林生态,1984,0,477
Alcippe morrisonia,Henan,2015,discovery_date,2015,2016,1,111.82,33.25,FALSE,FALSE,河南南阳恐龙蛋化石群国家级自然保护区,national,古生物遗迹,1998,0.722531286751675,1426
Amaurornis phoenicurus,Heilongjiang,2008,discovery_date,2008,2010,2,125.12,46.81,FALSE,FALSE,明水湿地,provincial,湿地生态,2007,28.0942602276785,3555
Amaurornis phoenicurus,Inner Mongolia,2018,discovery_date,2018,2023,5,105.81,38.66,FALSE,FALSE,内蒙古贺兰山,national,森林生态,1992,0.488205100518178,2243
Amaurornis phoenicurus,Qinghai,2013,discovery_date,2013,2015,2,101.07,32.68,FALSE,FALSE,四川严波也则山,local,野生动物,2001,5.20144373140344,1249
Anastomus oscitans,Hebei,2021,discovery_date,2021,2023,2,114.16,38.24,FALSE,FALSE,河北驼梁,national,森林生态,2001,45.9254140371866,2258
Anastomus oscitans,Hunan,2024,publication_minus_median_lag,,2025,1,113.24,28.23,FALSE,FALSE,湖南东洞庭湖,national,湿地生态,1984,59.2046514483977,567
Anastomus oscitans,Qinghai,2023,discovery_date,2023,2024,1,96.57,32.58,FALSE,FALSE,青海玉树隆宝,national,湿地生态,1986,61.0782018318921,1240
Anastomus oscitans,Shaanxi,2020,discovery_date,2020,2021,1,107.53,33.23,FALSE,FALSE,陕西汉中朱鹮,national,野生动物,1983,0.803240054675869,1339
Anastomus oscitans,Sichuan,2012,discovery_date,2012,2018,6,103.09,28.41,FALSE,FALSE,四川美姑大风顶,national,野生动物,1978,13.2665044117042,547
Anser anser,Hainan,2007,discovery_date,2007,2009,2,110.58,19.9,FALSE,FALSE,名人山鸟类,local,野生动物,1997,14.264897678754,17
Anser fabalis,Tibet,2016,discovery_date,2016,2016,0,95.83,29.27,FALSE,FALSE,西藏雅鲁藏布大峡谷,national,森林生态,1985,1.17127407193957,724
Anser indicus,Chongqing,2006,discovery_date,2006,2007,1,106.43,29.84,FALSE,FALSE,重庆缙云山,national,森林生态,1979,0.836875200756305,745
Anser indicus,Henan,2019,discovery_date,2019,2019,0,111.13,34.77,TRUE,TRUE,河南黄河湿地,national,湿地生态,1995,0,1657
Anthus godlewskii,Shaanxi,2005,discovery_date,2005,2007,2,107.98,33.53,FALSE,FALSE,陕西佛坪,national,野生动物,1978,5.14781778241233,1418
Anthus gustavi,Anhui,2020,discovery_date,2020,2024,4,117.26,31.66,FALSE,FALSE,盘台,local,森林生态,2006,114.80549247433,1202
