species,year,val
Abroscopus albogularis,1970,6.29556274414063
Accipiter gularis,1970,2.59817504882813
Accipiter soloensis,1970,5.58830785751343
Accipiter trivirgatus,1970,7.14108753204346
Accipiter virgatus,1970,5.75811719894409
Acridotheres cristatellus,1970,6.01171159744263
Acridotheres tristis,1970,5.23772048950195
Acrocephalus agricola,1970,3.60837745666504
Acrocephalus bistrigiceps,1970,3.57633900642395
Acrocephalus concinens,1970,5.22513818740845
Acrocephalus orientalis,1970,3.67744541168213
Acrocephalus tangorum,1970,2.97016859054565
Aegithalos bonvaloti,1970,3.9022958278656
Aegithalos caudatus,1970,2.49014091491699
Aegithalos concinnus,1970,5.91154479980469
Aegithalos fuliginosus,1970,4.41397380828857
Aerodramus brevirostris,1970,5.38977575302124
Aethopyga christinae,1970,8.01166534423828
Aethopyga gouldiae,1970,4.73389530181885
Agropsar sturninus,1970,3.11645221710205
Aix galericulata,1970,2.88385677337647
Alauda gulgula,1970,4.29132127761841
Alaudala cheleensis,1970,3.15259861946106
Alcedo hercules,1970,6.89325094223023
Alcippe morrisonia,1970,6.03143835067749
Amaurornis phoenicurus,1970,5.93150329589844
Anastomus oscitans,1970,6.00973796844482
Anser anser,1970,2.54904723167419
Anser fabalis,1970,1.86755573749542
Anser indicus,1970,2.19862937927246
Anthus godlewskii,1970,2.21478080749512
Anthus gustavi,1970,2.68221521377564
Anthus richardi,1970,3.99237871170044
Anthus roseatus,1970,2.84309506416321
Anthus trivialis,1970,2.35755944252014
Aquila fasciata,1970,6.7535982131958
Aquila heliaca,1970,2.07436656951904
Ardea intermedia,1970,6.16652297973633
Ardea purpurea,1970,5.35906934738159
Ardenna pacifica,1970,7.35004663467407
Artamus fuscus,1970,7.05353212356567
Asio flammeus,1970,2.06348013877869
Athene noctua,1970,2.87113666534424
Aviceda jerdoni,1970,7.19648838043213
Aviceda leuphotes,1970,5.94805860519409
Aythya fuligula,1970,2.13893580436707
Aythya nyroca,1970,2.75770044326782
Bombycilla japonica,1970,1.24663615226746
Branta canadensis,1970,3.84572005271912
Bubo nipalensis,1970,4.84985208511353
Bucanetes mongolicus,1970,3.17630100250244
Butastur indicus,1970,2.98719072341919
Cacomantis merulinus,1970,6.76276779174805
Calandrella brachydactyla,1970,3.25458121299744
Calliope obscura,1970,4.06996965408325
Caprimulgus macrurus,1970,7.22115278244019
Carpodacus roborowskii,1970,0.895983874797821
Carpodacus vinaceus,1970,5.24725294113159
Cecropis daurica,1970,4.21183776855469
Centropus bengalensis,1970,6.58134603500366
Cephalopyrus flammiceps,1970,4.78223514556885
Certhia familiaris,1970,2.92302989959717
Certhia himalayana,1970,4.32585859298706
Certhia tianquanensis,1970,3.98160004615784
Ceryle rudis,1970,6.33224868774414
Cettia brunnifrons,1970,4.25378894805908
Cettia castaneocoronata,1970,4.98823499679565
Chalcophaps indica,1970,7.07183980941773
Charadrius atrifrons,1970,1.93320155143738
Charadrius dealbatus,1970,7.53081512451172
Charadrius placidus,1970,3.62010717391968
Charadrius veredus,1970,2.26521182060242
Chlidonias leucopterus,1970,2.80545997619629
Chlidonias niger,1970,2.57266688346863
Chloris ambigua,1970,5.40493535995483
Chloris sinica,1970,4.43695497512817
Chrysolophus pictus,1970,5.0341100692749
Ciconia boyciana,1970,2.86755442619324
Ciconia nigra,1970,3.32541799545288
Circaetus gallicus,1970,3.35614562034607
Circus macrourus,1970,2.40071225166321
Circus spilonotus,1970,2.29079413414001
Cisticola exilis,1970,6.52732563018799
Cisticola juncidis,1970,5.90297079086304
Clamator coromandus,1970,6.06229972839356
Clanga clanga,1970,2.39073634147644
Columba oenas,1970,2.41253280639648
Copsychus saularis,1970,6.00233936309815
Coracias garrulus,1970,2.32500195503235
Coturnicops exquisitus,1970,1.95560371875763
Crex crex,1970,2.30502057075501
Crossoptilon mantchuricum,1970,3.8407289981842
Curruca curruca,1970,3.06333470344543
Cyanistes cyanus,1970,2.11710286140442
Cyanoderma pyrrhops,1970,4.96768474578857
Cygnus cygnus,1970,2.38862681388855
Cygnus olor,1970,2.5561580657959
Cyornis glaucicomans,1970,5.75505876541138
Cyornis hainanus,1970,7.29578971862793
Cyornis rubeculoides,1970,6.19314813613892
Delichon dasypus,1970,3.72166204452515
Dendrocitta formosae,1970,6.20977449417114
Dendrocopos hyperythrus,1970,4.05108499526978
Dendrocygna javanica,1970,6.42649269104004
Dicaeum cruentatum,1970,6.63603067398071
Dicaeum ignipectus,1970,5.84669876098633
Dicaeum minullum,1970,5.6532826423645
Dicrurus annectens,1970,6.92326307296753
Dicrurus hottentottus,1970,5.64827013015747
Dicrurus remifer,1970,6.36389112472534
Egretta eulophotes,1970,4.31617307662964
Egretta garzetta,1970,5.11870241165161
Elachura formosa,1970,5.94518089294434
Elanus caeruleus,1970,6.93344163894653
Emberiza buchanani,1970,2.0705099105835
Emberiza citrinella,1970,2.08710908889771
Emberiza elegans,1970,4.12982225418091
Emberiza godlewskii,1970,3.03827428817749
Emberiza hortulana,1970,2.69341397285461
Emberiza leucocephalos,1970,1.8975613117218
Emberiza pallasi,1970,1.24034214019775
Emberiza pusilla,1970,2.57175636291504
Emberiza rustica,1970,0.72730815410614
Emberiza siemsseni,1970,4.4344048500061
Emberiza yessoensis,1970,2.64378356933594
Enicurus leschenaulti,1970,5.67267656326294
Enicurus maculatus,1970,6.32213163375855
Enicurus schistaceus,1970,6.24594020843506
Erpornis zantholeuca,1970,6.42844104766846
Erythrogenys hypoleucos,1970,6.93623876571655
Eudynamys scolopaceus,1970,6.00231695175171
Eumyias thalassinus,1970,5.5318808555603
Falco cherrug,1970,2.59674596786499
Falco severus,1970,6.413405418396
Ficedula albicilla,1970,1.31354463100433
Ficedula elisae,1970,3.74486446380615
Ficedula erithacus,1970,3.83017039299011
Ficedula hyperythra,1970,5.97663259506226
Ficedula mugimaki,1970,2.51401329040527
Ficedula strophiata,1970,5.2130765914917
Ficedula superciliaris,1970,3.31081914901733
Ficedula tricolor,1970,4.90993976593018
Fringilla coelebs,1970,0.920407235622406
