province,gdp_per_capita,area_km2,habitat_heterogeneity,contemporary_species_richness,candidate_species_richness,early_visits,early_years,recent_visits,recent_years,new_record_count,z_early_effort,z_recent_effort,z_richness,z_gdp,z_area,z_habitat,log_recent_offset
Anhui,73811,140100,1.449954,614,260,21,6,5175,16,29,-0.904164687639202,-0.424420696672293,0.337885853089848,-0.171319639161248,-0.136928440262309,-0.627129724050335,8.55178783618074
Beijing,190064,16418,1.8031313,523,154,460,7,63215,16,13,1.38685992149519,2.3569547574829,-0.405136288926452,2.39454379174316,-1.8551779316071,0.417585696242385,11.0543127126512
Chongqing,90874,82370,1.7804821,610,283,52,7,4322,16,11,-0.242052028049793,-0.624569876310742,0.307607759463356,0.392838706329465,-0.562603024554136,0.3546490010923,8.37170488466763
Fujian,127852,124000,1.5363476,654,282,147,7,14288,16,6,0.531263170502167,0.704186839608558,0.63027241230798,1.31896961551832,-0.23476468967839,-0.358279428960565,9.56724528946897
Gansu,44771,425800,2.0127174,622,258,29,6,3971,16,36,-0.670604687023731,-0.718685417337428,0.397855687950793,-1.52753960055103,0.753970868221309,0.976958709688331,8.28702502516506
Guangdong,102465,179725,1.8012818,407,252,84,7,17477,16,7,0.113654873113132,0.928087212637673,-1.56620338364719,0.718496678278041,0.0626887630519977,0.412465480765388,9.76869822618749
Guangxi,52469,237600,1.6009697,669,270,107,7,8644,16,20,0.293993590909851,0.145684540973553,0.735335800006724,-1.09713454191285,0.286421173746811,-0.163101093138625,9.06473639811739
Guizhou,52291,176167,1.830618,642,289,74,5,3153,16,24,0.0194016432668733,-0.974978707209232,0.544474564785041,-1.10635304259383,0.0466634507603451,0.493285117195853,8.05642676752298
Hainan,67633,35400,1.7431838,513,199,67,7,5632,16,14,-0.0543818183149298,-0.330383240986182,-0.494543705969238,-0.408444607307655,-1.23942273950014,0.249880130466211,8.63639743889471
Hebei,56789,188800,1.7514692,613,205,427,7,7450,16,6,1.33092776686913,-0.0195101443657351,0.330334832084502,-0.88250343311528,0.102168284899352,0.273275912379578,8.91610353055373
Heilongjiang,49925,473000,1.4265208,424,154,10,6,1726,16,16,-1.42613432650174,-1.64437570244825,-1.37678519038514,-1.23195852383252,0.83822368459004,-0.701687506757811,7.45414107814668
Henan,61737,167000,1.2584924,598,235,22,7,8276,16,29,-0.8706905985761,0.0973368413864341,0.21556967317898,-0.655879977875602,0.0038353052990514,-1.25838878023884,9.0212358628854
Hubei,93043,185900,1.9581408,631,272,49,6,16225,16,23,-0.285931021982678,0.845476955788785,0.464408083753335,0.456826442136212,0.0897624095567718,0.835135979788569,9.69437017295501
Hunan,73249,211800,1.893338,597,264,71,7,11157,16,48,-0.0113390743397006,0.429293781236276,0.207816786857729,-0.192053568520087,0.194297920155019,0.663301656311026,9.31991200840547
Inner Mongolia,96299,1183000,1.9069698,537,194,36,6,4079,16,28,-0.512676107222916,-0.688868877349549,-0.282791311851891,0.550134535502315,1.5729232336604,0.699765881587024,8.31385226739821
Jiangsu,144989,107200,1.336322,626,267,54,7,26582,16,31,-0.214158357348597,1.39414103918824,0.427552438172161,1.66019215066926,-0.351443116580489,-0.995554267634201,10.1880271927154
Jiangxi,70980,166900,2.0060458,590,250,55,7,8167,16,21,-0.2005896477385,0.0826031967731258,0.153180815523807,-0.277413756974596,0.00335525389169641,0.959760353187695,9.0079793598445
Jilin,54293,187400,1.3353062,472,176,26,7,2084,16,13,-0.749945686815233,-1.43500155671909,-0.880265482896945,-1.00443322387648,0.0962032128303997,-0.998927948283441,7.6425241342329
Liaoning,68030,148000,1.4459971,557,223,64,5,6573,16,17,-0.0883594466876543,-0.158689540257223,-0.113425745004578,-0.392567638920396,-0.0929645153623285,-0.639669279031291,8.79087775422416
Ningxia,70385,66400,1.8940364,302,151,7,2,961,14,19,-1.66594368256389,-2.29470164108329,-2.94679302047774,-0.300249499687818,-0.735332713309513,0.665174004780678,6.86901445066571
Qinghai,60940,722300,1.0587929,577,208,352,7,6552,16,24,1.18585016146917,-0.162245570042782,0.0499749904062492,-0.691128251976124,1.17751334601798,-1.97658031321903,8.7876782390395
Shaanxi,82908,205600,2.0862734,617,269,149,7,5175,16,42,0.541371282129415,-0.424420696672293,0.360465466423986,0.143965227601641,0.170487017380323,1.16408948188637,8.55178783618074
Shandong,86120,155800,1.0360239,589,263,19,6,7179,16,19,-0.975937352273282,-0.0606872828832671,0.145322894282967,0.247076864227088,-0.0518015946092401,-2.06285392558968,8.87905466204227
Shanghai,179538,6340,1.1685455,565,210,457,7,24215,16,20,1.38194340995386,1.2904911351208,-0.0473733643812536,2.23998710108303,-2.61768021035381,-1.5736690233169,10.0947688507016
Shanxi,73442,156700,1.8605019,516,198,10,4,3178,16,7,-1.42613432650174,-0.966203770623722,-0.467540129948137,-0.184915317402463,-0.0471852559280874,0.574756963217144,8.0643219609108
Sichuan,67822,486000,2.2854274,799,318,654,7,23807,16,15,1.65135663408163,1.27160585235183,1.55818360971207,-0.400874460779202,0.859953558083539,1.6491983030673,10.0777769376328
Tianjin,117635,11934,1.3320304,474,162,4,4,7021,16,11,-2.01987662999837,-0.0854179998503091,-0.860686966998488,1.09303334766236,-2.11081177389236,-1.0098175589666,8.85680335672838
Tibet,58459,1228400,1.4510793,733,261,222,7,5027,16,48,0.839980304412728,-0.456663510255679,1.15865835668723,-0.803880437209088,1.6031049763712,-0.623567307503763,8.52277756971014
Xinjiang,68626,1664990,1.6312508,398,258,105,7,8026,15,15,0.279917610812749,0.0632496599090288,-1.66970435995553,-0.368905303542466,1.84683122894005,-0.0733056114672166,8.99056613813158
Yunnan,61332,394100,2.2693637,930,288,529,7,8839,16,20,1.4918935799659,0.170475777624159,2.26184361450014,-0.673734347207771,0.691966739157921,1.61117484381585,9.08704215563169
Zhejiang,120363,105500,2.0459541,682,280,394,7,34697,16,25,1.27050553059628,1.69023664098573,0.82450531125574,1.15522471169569,-0.364254420976289,1.0620742526866,10.4544373273863
