clim_change_z,effort_z,clim_var_z,log_completeness,yr,province_f,mig_f,p_hazard,p_rf,in_support
-3,0,0,-0.0108587433348759,11,Anhui,Resident,0.000942169465698917,0.00718357352889078,TRUE
-2.9,0,0,-0.0108587433348759,11,Anhui,Resident,0.000972003117710507,0.00718357352889078,TRUE
-2.8,0,0,-0.0108587433348759,11,Anhui,Resident,0.00100278097356621,0.00718357352889078,TRUE
-2.7,0,0,-0.0108587433348759,11,Anhui,Resident,0.00103453288581445,0.00718357352889078,TRUE
-2.6,0,0,-0.0108587433348759,11,Anhui,Resident,0.00106728964887692,0.00926690686222411,TRUE
-2.5,0,0,-0.0108587433348759,11,Anhui,Resident,0.00110108302863865,0.00267690022363222,TRUE
-2.4,0,0,-0.0108587433348759,11,Anhui,Resident,0.00113594579296039,0.00267690022363222,TRUE
-2.3,0,0,-0.0108587433348759,11,Anhui,Resident,0.00117191174314002,0.00260337081186752,TRUE
-2.2,0,0,-0.0108587433348759,11,Anhui,Resident,0.00120901574635257,0.00260337081186752,TRUE
-2.1,0,0,-0.0108587433348759,11,Anhui,Resident,0.00124729376909905,0.00260337081186752,TRUE
-2,0,0,-0.0108587433348759,11,Anhui,Resident,0.00128678291169437,0.0031821751596936,TRUE
-1.9,0,0,-0.0108587433348759,11,Anhui,Resident,0.00132752144382597,0.00212991301269982,TRUE
-1.8,0,0,-0.0108587433348759,11,Anhui,Resident,0.00136954884121576,0.00146324634603315,TRUE
-1.7,0,0,-0.0108587433348759,11,Anhui,Resident,0.00141290582341924,0.00146324634603315,TRUE
-1.6,0,0,-0.0108587433348759,11,Anhui,Resident,0.001457634392795,0.00146324634603315,TRUE
-1.5,0,0,-0.0108587433348759,11,Anhui,Resident,0.00150377787468214,0.00138971693426845,TRUE
-1.4,0,0,-0.0108587433348759,11,Anhui,Resident,0.00155138095881957,0.00138971693426845,TRUE
-1.3,0,0,-0.0108587433348759,11,Anhui,Resident,0.00160048974204652,0.00761320168073113,TRUE
-1.2,0,0,-0.0108587433348759,11,Anhui,Resident,0.00165115177232233,0.00107190408655519,TRUE
