unit_id,share,n_species,province,unit_nm,prov_cn,rank_in_prov
110101,0.0618605742868235,148,Beijing,东城区,北京市,10
110102,0.0631760751907512,148,Beijing,西城区,北京市,9
110105,0.0684845546440972,148,Beijing,朝阳区,北京市,3
110106,0.0697706017695731,148,Beijing,丰台区,北京市,2
110107,0.0561484226619282,148,Beijing,石景山区,北京市,14
110108,0.0703203661184366,148,Beijing,海淀区,北京市,1
110109,0.059376907929237,148,Beijing,门头沟区,北京市,12
110111,0.0650795198493178,148,Beijing,房山区,北京市,6
110112,0.0636264136319305,148,Beijing,通州区,北京市,8
110113,0.0640678678207457,148,Beijing,顺义区,北京市,7
110114,0.0595939392624134,148,Beijing,昌平区,北京市,11
110115,0.0678013219041433,148,Beijing,大兴区,北京市,4
110116,0.0570795727019505,148,Beijing,怀柔区,北京市,13
110117,0.0534880118576071,148,Beijing,平谷区,北京市,16
110118,0.0542512644059119,148,Beijing,密云区,北京市,15
110119,0.0658745859651331,148,Beijing,延庆区,北京市,5
120101,0.0447929917497673,156,Tianjin,和平区,天津市,14
120102,0.0574297047154061,156,Tianjin,河东区,天津市,12
120103,0.0495329932454114,156,Tianjin,河西区,天津市,13
120104,0.0606695883614787,156,Tianjin,南开区,天津市,10
120105,0.0417073985565343,156,Tianjin,河北区,天津市,15
120106,0.0416007128198231,156,Tianjin,红桥区,天津市,16
120110,0.0722832805449065,156,Tianjin,东丽区,天津市,4
120111,0.0820044384916009,156,Tianjin,西青区,天津市,2
120112,0.0708095189163078,156,Tianjin,津南区,天津市,5
120113,0.0605962650350494,156,Tianjin,北辰区,天津市,11
120114,0.061251806016795,156,Tianjin,武清区,天津市,9
120115,0.063089131792637,156,Tianjin,宝坻区,天津市,7
120116,0.0938389143295977,156,Tianjin,滨海新区,天津市,1
120117,0.0659548350597293,156,Tianjin,宁河区,天津市,6
120118,0.0617905368297778,156,Tianjin,静海区,天津市,8
120119,0.0726478835351781,156,Tianjin,蓟州区,天津市,3
130102,0.00845724693758454,201,Hebei,长安区,河北省,34
130104,0.00900486265635708,201,Hebei,桥西区,河北省,28
130105,0.00815247246631188,201,Hebei,新华区,河北省,42
130107,0.00392272621811714,201,Hebei,井陉矿区,河北省,117
130108,0.00858878381895463,201,Hebei,裕华区,河北省,32
130109,0.00432342217744225,201,Hebei,藁城区,河北省,107
130110,0.0100611468822295,201,Hebei,鹿泉区,河北省,18
130111,0.00556994908092666,201,Hebei,栾城区,河北省,80
130121,0.00771304710719943,201,Hebei,井陉县,河北省,51
130123,0.00830597257299892,201,Hebei,正定县,河北省,36
130125,0.00527599687494858,201,Hebei,行唐县,河北省,84
130126,0.00627348871685006,201,Hebei,灵寿县,河北省,65
130127,0.00282749641624123,201,Hebei,高邑县,河北省,163
130128,0.00725196629896936,201,Hebei,深泽县,河北省,56
130129,0.00513172377303753,201,Hebei,赞皇县,河北省,89
130130,0.00313736032830428,201,Hebei,无极县,河北省,144
130131,0.0123947562182521,201,Hebei,平山县,河北省,2
130132,0.00450020431921711,201,Hebei,元氏县,河北省,96
130133,0.00407415706845503,201,Hebei,赵县,河北省,114
130181,0.00442740264047563,201,Hebei,辛集市,河北省,99
130183,0.00434718067270094,201,Hebei,晋州市,河北省,104
130184,0.00339022262186892,201,Hebei,新乐市,河北省,139
130202,0.00555190132153985,201,Hebei,路南区,河北省,81
130203,0.00440644739085646,201,Hebei,路北区,河北省,101
130204,0.00394666758365078,201,Hebei,古冶区,河北省,116
130205,0.00416989192119562,201,Hebei,开平区,河北省,111
130207,0.00993093076970082,201,Hebei,丰南区,河北省,19
130208,0.00480758126424198,201,Hebei,丰润区,河北省,93
130209,0.0116089842102236,201,Hebei,曹妃甸区,河北省,4
130224,0.0115323547603323,201,Hebei,滦南县,河北省,5
130225,0.0118552104186067,201,Hebei,乐亭县,河北省,3
130227,0.00826210584437497,201,Hebei,迁西县,河北省,37
130229,0.00914359470454288,201,Hebei,玉田县,河北省,27
130281,0.00883102245786346,201,Hebei,遵化市,河北省,30
130283,0.00725982530687465,201,Hebei,迁安市,河北省,55
130284,0.00701286109934759,201,Hebei,滦州市,河北省,58
130302,0.01080595180166,201,Hebei,海港区,河北省,8
130303,0.00927487108623464,201,Hebei,山海关区,河北省,25
130304,0.0104164779071046,201,Hebei,北戴河区,河北省,12
130306,0.0105160460111746,201,Hebei,抚宁区,河北省,11
130321,0.0097459380278134,201,Hebei,青龙满族自治县,河北省,21
130322,0.010532659163596,201,Hebei,昌黎县,河北省,10
130324,0.00672752517469734,201,Hebei,卢龙县,河北省,61
130402,0.00568200326339459,201,Hebei,邯山区,河北省,77
130403,0.00818399262526058,201,Hebei,丛台区,河北省,39
130404,0.00465047364949205,201,Hebei,复兴区,河北省,94
130406,0.00420187729889557,201,Hebei,峰峰矿区,河北省,110
130407,0.00314442978582809,201,Hebei,肥乡区,河北省,143
130408,0.0036414406852422,201,Hebei,永年区,河北省,125
130423,0.00283894354283612,201,Hebei,临漳县,河北省,162
130424,0.0028393020517634,201,Hebei,成安县,河北省,161
130425,0.00269741972672406,201,Hebei,大名县,河北省,168
130426,0.00411303136075888,201,Hebei,涉县,河北省,113
130427,0.00432577453238379,201,Hebei,磁县,河北省,106
130430,0.00288837099195345,201,Hebei,邱县,河北省,156
130431,0.00302594329074592,201,Hebei,鸡泽县,河北省,150
130432,0.0027049085602281,201,Hebei,广平县,河北省,167
130433,0.00288143682298915,201,Hebei,馆陶县,河北省,157
130434,0.00292155106473771,201,Hebei,魏县,河北省,154
130435,0.00298975681141531,201,Hebei,曲周县,河北省,151
130481,0.00954148515719443,201,Hebei,武安市,河北省,22
130502,0.00285138936825923,201,Hebei,桥东区,河北省,159
130503,0.00446036988387097,201,Hebei,桥西区,河北省,97
130521,0.00776648201962851,201,Hebei,邢台县,河北省,49
130522,0.00580339732962157,201,Hebei,临城县,河北省,74
130523,0.0063079690827383,201,Hebei,内丘县,河北省,64
130524,0.00279069423046066,201,Hebei,柏乡县,河北省,165
