setting,term,HR,lo,hi,P,sig
"Main: 50 cells, visits",Displacement x heat exposure,0.906223131723502,0.83782561136003,0.980204416450871,0.0139180275685681,TRUE
SDM threshold 100 cells,Displacement x heat exposure,0.891576748335782,0.823791404757946,0.964939781578048,0.00444626953496745,TRUE
SDM threshold 200 cells,Displacement x heat exposure,0.885895145696964,0.81865869280399,0.958653729653061,0.00262517088601343,TRUE
Effort: observers,Displacement x heat exposure,0.907358345110039,0.838738833106313,0.981591806583818,0.0153892403228132,TRUE
Effort: days,Displacement x heat exposure,0.907808217673453,0.839406138963472,0.981784289894638,0.0155225386574279,TRUE
Effort: record,Displacement x heat exposure,0.916666283259589,0.846379642301194,0.992789798890186,0.0325338867118254,TRUE
"Main: 50 cells, visits",Displacement x effort,0.854109601027297,0.765979301551394,0.952379795497728,0.00453801288252909,TRUE
SDM threshold 100 cells,Displacement x effort,0.855638800209567,0.767147783761165,0.954337315340529,0.00512408124614723,TRUE
SDM threshold 200 cells,Displacement x effort,0.854850389725365,0.766272895544861,0.953667020016403,0.00495360240740359,TRUE
Effort: observers,Displacement x effort,0.877928329257902,0.788201924712207,0.977868902813191,0.0179395831084385,TRUE
Effort: days,Displacement x effort,0.862228483696302,0.770306250230687,0.965119986855338,0.00995856259231714,TRUE
Effort: record,Displacement x effort,0.877734649750216,0.788731002010314,0.97678183488223,0.0168187656081428,TRUE
