level,split,method,n_event,rank_pct,top1,top3,top10pct,median_rank,median_n_alt
prefecture,时间外推 2019-2024,M3 分配模型,219,0.348353782711156,0.301369863013699,0.607305936073059,0.401826484018265,3,13
prefecture,时间外推 2019-2024,基线:累计观鸟努力,219,0.396446094084088,0.237442922374429,0.470319634703196,0.296803652968037,4,13
prefecture,时间外推 2019-2024,基线:单元面积,219,0.47713908737277,0.132420091324201,0.351598173515982,0.242009132420091,5,13
prefecture,时间外推 2019-2024,基线:随机,219,0.559172606201212,0.132420091324201,0.292237442922374,0.182648401826484,6,13
prefecture,时间外推 2019-2024,基线:仅到分布区距离,219,0.396749746135322,0.255707762557078,0.552511415525114,0.360730593607306,3,13
county,时间外推 2019-2024,M3 分配模型,218,0.228624950659786,0.160550458715596,0.261467889908257,0.454128440366972,14,100
county,时间外推 2019-2024,基线:累计观鸟努力,218,0.311120989875036,0.0825688073394496,0.165137614678899,0.371559633027523,17.5,100
county,时间外推 2019-2024,基线:单元面积,218,0.37238643784211,0.036697247706422,0.137614678899083,0.238532110091743,25,100
county,时间外推 2019-2024,基线:随机,218,0.495888463472178,0,0.0275229357798165,0.105504587155963,43,100
county,时间外推 2019-2024,基线:仅到分布区距离,218,0.334127801009136,0.0642201834862385,0.174311926605505,0.302752293577982,22,100
