dropped,n_dropped,OR
西藏雅鲁藏布大峡谷,26,1.38584632406792
湖南壶瓶山,21,1.47989046355073
青海循化孟达,7,1.61775251421905
裕河金丝猴,7,1.62510668812876
大洞山,5,1.63653599337812
山东泰山,5,1.63716849259619
湖北神农架,4,1.63717391570704
蛇岛老铁山,3,1.65722562940142
河南董寨鸟类,6,1.65899187478861
西藏珠穆朗玛峰,3,1.66220735295483
青海可可西里,3,1.66463708911623
陕西太白山,3,1.66498403560205
六盘山,5,1.66885338412941
五峰后河,2,1.66982326424174
山西历山,2,1.66982326424174
辽宁鸭绿江口湿地国家级自然保护区,3,1.67210056708946
白龟山湿地,2,1.67229197738827
陕西佛坪,2,1.67415061040402
浙江乌岩岭,2,1.67473816022854
内蒙古额济纳胡杨林,2,1.67589422717553
宁夏沙坡头国家级自然保护区,2,1.67603856954493
江西武夷山,2,1.67630385003497
山东滨州贝壳堤岛与湿地国家级自然保护区,2,1.67796822174588
贵州绥阳宽阔水,2,1.67810058011031
陕西长青,2,1.67923043793318
河南黄河湿地,2,1.68288616742827
江西井冈山,2,1.68573049657947
广西猫儿山,1,1.68890729077301
河北驼梁,1,1.68890729077301
天津古海岸与湿地国家级自然保护区,1,1.68890729077301
河南太行山猕猴,1,1.69001071327054
湖北七姊妹山,1,1.69016429283661
广西雅长兰科植物,1,1.69031688654126
陕西延安黄龙山褐马鸡,2,1.69060725271281
贵州草海,2,1.6911487768204
韭山列岛,1,1.69135816708348
新疆罗布泊野骆驼国家级自然保护区,1,1.69150318340882
新疆阿尔金山国家级自然保护区,1,1.69179049445708
内蒙古贺兰山,1,1.69193280508075
内蒙古黑里河,1,1.69207422956204
巴丹吉林沙漠湖泊,1,1.6924932631178
西藏雅鲁藏布江中游河谷黑颈鹤,1,1.69317463565452
张家界大鲵国家级自然保护区,1,1.69383551920539
甘肃白水江,1,1.694094329864
江西九岭山,1,1.69435005339079
内蒙古大青山,1,1.6949761939707
黑龙江南瓮河,1,1.69558414334705
云南高黎贡山,1,1.69594049149053
长江上游珍稀、特有鱼类,1,1.69640611699187
四川贡嘎山,1,1.69652086278178
四川唐家河,1,1.69663495512425
宁夏贺兰山,1,1.69686120060189
甘肃黑河,1,1.69719579865496
甘肃祁连山,1,1.69741574324895
湖南八大公山,1,1.6976332376186
四川卧龙,1,1.6976332376186
滇池,1,1.697954969823
吉林向海,1,1.69847947877565
吉林莫莫格,2,1.69858266503665
湖南八面山,1,1.69898983930235
敦煌阳关,1,1.69909026172521
河南内乡宝天曼,2,1.69990783958111
福建龙栖山,1,1.70044131760911
贵州茂兰,1,1.70294769126231
贵州雷公山,1,1.70318688682699
云南大山包,1,1.70814836600035
敦煌西湖,1,1.70814836600035
内蒙古阿鲁科尔沁国家级自然保护区,1,1.70814836600035
