year,max_observable_lag,completeness,log_completeness
2002,23,0.9971,-0.00290421314738983
2003,22,0.9971,-0.00290421314738983
2004,21,0.9961,-0.00390762483101708
2005,20,0.9961,-0.00390762483101708
2006,19,0.9961,-0.00390762483101708
2007,18,0.9961,-0.00390762483101708
2008,17,0.9961,-0.00390762483101708
2009,16,0.9961,-0.00390762483101708
2010,15,0.9961,-0.00390762483101708
2011,14,0.9961,-0.00390762483101708
2012,13,0.9921,-0.00793137032628028
2013,12,0.9892,-0.0108587433348759
2014,11,0.9882,-0.0118701725704874
2015,10,0.9814,-0.018775155326334
2016,9,0.9715,-0.0289140101646422
2017,8,0.9657,-0.0349020520092649
2018,7,0.9539,-0.0471964348309747
2019,6,0.9401,-0.0617690263976318
2020,5,0.9235,-0.0795844793428424
2021,4,0.895,-0.110931560707282
2022,3,0.8342,-0.181282097219292
2023,2,0.7321,-0.31183816232954
2024,1,0.5672,-0.567043303764219
