threshold,step,pairs,rows,events,note
50,1. v1 candidate pairs,8330,,,SDM pool + v1 forced events
50,2. drop prevalent (discovered <2002),8308,,,22 pairs removed
50,3. force in all re-dated events,8319,,,11 event pairs added
50,4. expand with absorbing exit,8319,185478,657,""
50,5. usable under main specification,8140,175901,649,coverage-gap effort + W15 tavg_annual components non-missing
100,1. v1 candidate pairs,7667,,,SDM pool + v1 forced events
100,2. drop prevalent (discovered <2002),7645,,,22 pairs removed
100,3. force in all re-dated events,7656,,,11 event pairs added
100,4. expand with absorbing exit,7656,170229,657,""
100,5. usable under main specification,7656,165135,649,coverage-gap effort + W15 tavg_annual components non-missing
200,1. v1 candidate pairs,7225,,,SDM pool + v1 forced events
200,2. drop prevalent (discovered <2002),7203,,,22 pairs removed
200,3. force in all re-dated events,7217,,,14 event pairs added
200,4. expand with absorbing exit,7217,160132,657,""
200,5. usable under main specification,7217,155435,649,coverage-gap effort + W15 tavg_annual components non-missing
