proxy,treatment,n,events,AIC,R2_conditional,AUC_conditional,AUC_marginal,HR_effort,P_effort,HR_change,P_change,HR_var,P_var,HR_int,P_int,b_effort,b_change,b_var,b_int,dAIC
visits,gap,175901,649,8313.15361099188,0.401926471200508,0.854304909888385,0.611678074174077,1.4038169859134,2.89651690863056e-08,1.36164754167317,8.33903878612454e-08,0.995095739809156,0.91565385817717,0.84924794872335,0.00365005267236242,0.339194945193539,0.308695394262358,-0.00491632553875464,-0.163404087342241,53.2660937975761
visits,zero,181361,657,8431.43199236793,0.407410122834638,0.856098364078296,0.614577740460663,1.45025362504814,1.71054226573192e-09,1.36721996619799,4.33788435629292e-08,1.00951351882361,0.837328217166249,0.847727872354979,0.00348733503026571,0.371738454963148,0.312779456426764,0.00946855028446402,-0.165195599933109,171.54447517362
visits,imp,181361,657,8433.11976984813,0.406737592170226,0.856651275148238,0.614034541111164,1.43100277350953,4.55445025204458e-09,1.36354741184804,5.21409597723763e-08,1.00929720127478,0.840966268371117,0.850665588382774,0.00389618424488985,0.35837543873423,0.310089694864747,0.00925424832192112,-0.161736190761479,173.232252653828
observers,gap,175901,649,8309.33862636328,0.399211770068597,0.853378680374858,0.613599946783375,1.43481918018771,1.32778673971565e-09,1.35202808969216,1.94849658701863e-07,0.992813003739972,0.876880879067347,0.869357834789986,0.0116584232641422,0.361038834434221,0.301605753804474,-0.0072129471316157,-0.140000460809935,49.4511091689765
observers,zero,181361,657,8427.65509614654,0.404584673567344,0.855194533931223,0.616546962342235,1.47672881845167,8.69625249018526e-11,1.35573595449879,1.14943257070372e-07,1.00757209901526,0.870452479312569,0.868528252280224,0.011399441532178,0.389829383748128,0.304344446736105,0.00754357457626618,-0.140955163858593,167.767578952231
observers,imp,181361,657,8429.11421523061,0.403980451644382,0.855697437642706,0.615913603187344,1.46081175680258,1.92432761229281e-10,1.35255803645593,1.35122497736506e-07,1.00733360369216,0.874481360253588,0.871504049340812,0.0126722263835597,0.378992279020717,0.301997641321327,0.00730684357303006,-0.13753476762917,169.226698036306
days,gap,175901,649,8307.30348360955,0.407008497748579,0.851939704734327,0.618759578327055,1.46323745828964,1.30578651552341e-09,1.37293758339838,6.12785053045356e-08,0.993634216246713,0.890752798367028,0.859191595240941,0.00916940103731108,0.380651418019465,0.31695266573675,-0.00638613175463393,-0.151763337350637,47.4159664152412
days,zero,181361,657,8424.5667815794,0.413135843216952,0.853329925724482,0.622106522192609,1.51914276083697,6.03794982431046e-11,1.38050380315852,3.02373215048415e-08,1.00838672795288,0.856485284772792,0.854045145797075,0.00763770122426527,0.418146202631943,0.322448507298089,0.00835175475441955,-0.157771222659814,164.679264385093
days,imp,181361,657,8426.32101338889,0.411845590813486,0.853969307324943,0.621580396266318,1.49734845473978,1.40836729844287e-10,1.37538029326345,3.98863699735188e-08,1.00808405980456,0.861626513826623,0.859627141681182,0.00948877541092119,0.403695847048306,0.318730269797063,0.00805155883545388,-0.151256539931913,166.433496194586
record,gap,171704,645,8259.88751719431,0.392832432565494,0.855386973559375,0.597377966195317,1.25038683851047,0.000217603992505592,1.32953504034892,4.23990214356495e-07,1.00931332956347,0.840841909143446,0.861191630447435,0.00623194099966773,0.223452974246373,0.284829287388918,0.00927022791624894,-0.149438232016355,0
record,zero,177164,653,8378.87397224119,0.398992694260706,0.857550778606057,0.600386999381259,1.30971461100695,9.79984205857397e-06,1.33513231904134,2.1131958349004e-07,1.02338118379822,0.614484486935415,0.861608049631133,0.00719047331956654,0.269809259286222,0.289030402327377,0.0231120312497495,-0.148954810529083,118.986455046883
record,imp,177164,653,8381.80556172465,0.398592805724352,0.858289671165937,0.598685358429328,1.27354490889563,6.03072869606506e-05,1.32924823568002,2.84940224326896e-07,1.02318264750478,0.61744154469787,0.866657561234025,0.00848211068488297,0.241804278966085,0.284613546096573,0.0229180120933193,-0.143111349964298,121.918044530345
