source,baseline,window,n,events,AIC,sd_change_degC,HR_change,lo_change,hi_change,P_change,HR_effort,lo_effort,hi_effort,P_effort,HR_var,P_var,HR_int,lo_int,hi_int,P_int,dAIC
CRU TS 4.09 (0.5 deg),1970-2000,5,175901,649,8332.72849068522,0.0716671076925698,1.21149586409988,1.0920018817978,1.34406565885651,0.000293236481888982,1.35401071562564,1.19894702979449,1.52912928800809,1.03993462024551e-06,1.00424973787294,0.92707243156578,0.942661275683772,0.845088814121199,1.05149928128893,0.28950540807297,22.7065052588478
CRU TS 4.09 (0.5 deg),1970-2000,10,175901,649,8327.14646236543,0.0636936558856153,1.2567048847357,1.12546537473986,1.40324811652568,4.89914117772995e-05,1.37193616369106,1.21355007092811,1.55099396583105,4.36217386546566e-07,1.02136106660136,0.650179495029612,0.890322310659963,0.800071514256176,0.990753704805804,0.0331430208251409,17.1244769390578
CRU TS 4.09 (0.5 deg),1970-2000,15,175901,649,8315.03755026332,0.0577957679779529,1.36058701237284,1.21612003549335,1.5222157058589,7.59488003667085e-08,1.36622909862824,1.21061237461973,1.54184938884741,4.24186710106779e-07,1.00480049725431,0.91887864986375,0.896907860720815,0.804683681503932,0.999701782344221,0.0493693740904961,5.01556483694913
CRU TS 4.09 (0.5 deg),1970-2000,20,175901,649,8310.02198542637,0.0509484723515446,1.39595934702765,1.2480820478602,1.56135768629543,5.25008461495946e-09,1.37045920236534,1.21547775781772,1.54520180502514,2.64669239463529e-07,1.00489886330208,0.918210263872958,0.872080760097908,0.782384691757044,0.972059985510444,0.0134457029920547,0
CRU TS 4.09 (0.5 deg),1980-2000,5,175901,649,8338.35151265335,0.0700835790225644,1.15482997486599,1.04119913606735,1.28086186844735,0.00645039734040639,1.34575761635691,1.19169663644203,1.51973539791955,1.69037573077531e-06,1.00876671180028,0.849919122521038,0.998271355841418,0.894734186876321,1.11378967576123,0.975294142168543,20.3095099334241
CRU TS 4.09 (0.5 deg),1980-2000,10,175901,649,8335.61021713666,0.0602936150164786,1.1927853267961,1.06934788159593,1.33047145863957,0.00156163558063959,1.35679338816592,1.20024529161428,1.53376006640679,1.07125280621369e-06,1.0195373929993,0.676891150207491,0.932135386179875,0.836919552325065,1.03818386815657,0.201122868465255,17.5682144167367
CRU TS 4.09 (0.5 deg),1980-2000,15,175901,649,8323.61715906264,0.0524016704654712,1.30659179319807,1.17052941940159,1.45847006128673,1.87498714018022e-06,1.34596436017562,1.19325985665285,1.51821084800811,1.32604227394785e-06,0.996480335958416,0.939924539939221,0.918328714304129,0.825229978126401,1.02193043135704,0.118234155766188,5.57515634271294
CRU TS 4.09 (0.5 deg),1980-2000,20,175901,649,8318.04200271992,0.044147877412238,1.35977485339742,1.21513508615028,1.52163135852643,8.51307902283036e-08,1.34222872447653,1.19087633290728,1.51281698949523,1.422696226028e-06,0.991145886402581,0.85108115280501,0.893028520145079,0.800574373297476,0.996159712816807,0.0424578185159913,0
"WorldClim 2.1 / CRU TS (10 arcmin, main)",1980-2000,5,175901,649,8334.74548266211,0.244518469375573,1.16688258864804,1.05351002528718,1.29245564162408,0.00308014678517869,1.39204024243376,1.23351183283087,1.5709423979403,8.22440203186643e-08,1.01022071007439,0.824095400938895,0.897275252238237,0.807167727727897,0.997441858268395,0.0447030841017108,23.7947258571003
"WorldClim 2.1 / CRU TS (10 arcmin, main)",1980-2000,10,175901,649,8327.85144837077,0.204928072940323,1.21277480686977,1.08603687455018,1.35430275586838,0.000613398273973735,1.40673126488733,1.24618748126525,1.58795757569505,3.39416969986303e-08,1.02214489343859,0.632978607416345,0.84678145653407,0.762195425510676,0.940754577016178,0.0019520455596201,16.9006915657592
"WorldClim 2.1 / CRU TS (10 arcmin, main)",1980-2000,15,175901,649,8313.15364906552,0.179344973255465,1.36164134171515,1.21628621340131,1.52436747456258,8.34239779317077e-08,1.40381252459713,1.24526952520608,1.58254061817634,2.89717992204523e-08,0.995099386708828,0.915716397832861,0.849249337328143,0.760653017030478,0.948164827857894,0.00365034532035998,2.20289226050954
"WorldClim 2.1 / CRU TS (10 arcmin, main)",1980-2000,20,175901,649,8310.95075680501,0.154154569885122,1.39642741333598,1.24401329629328,1.56751501493318,1.48903144026322e-08,1.39988820695693,1.24275445004292,1.5768899414598,3.06488949390947e-08,1.00000197565334,0.999966386875735,0.823331776653642,0.740418410804047,0.915529928154425,0.00033115682545004,0
