order,direction,n_records,n_species,tot_records,tot_species,prop_records,prop_species
Passeriformes,North,27,24,388,222,0.0695876288659794,0.108108108108108
Passeriformes,Northeast,102,75,388,222,0.262886597938144,0.337837837837838
Passeriformes,East,152,99,388,222,0.391752577319588,0.445945945945946
Passeriformes,Southeast,30,26,388,222,0.077319587628866,0.117117117117117
Passeriformes,South,12,9,388,222,0.0309278350515464,0.0405405405405405
Passeriformes,Southwest,36,25,388,222,0.0927835051546392,0.112612612612613
Passeriformes,West,8,8,388,222,0.0206185567010309,0.036036036036036
Passeriformes,Northwest,21,19,388,222,0.0541237113402062,0.0855855855855856
Accipitriformes,North,7,4,55,22,0.127272727272727,0.181818181818182
Accipitriformes,Northeast,18,7,55,22,0.327272727272727,0.318181818181818
Accipitriformes,East,18,9,55,22,0.327272727272727,0.409090909090909
Accipitriformes,Southeast,5,4,55,22,0.0909090909090909,0.181818181818182
Accipitriformes,South,0,0,55,22,0,0
Accipitriformes,Southwest,3,2,55,22,0.0545454545454545,0.0909090909090909
Accipitriformes,West,2,2,55,22,0.0363636363636364,0.0909090909090909
Accipitriformes,Northwest,2,2,55,22,0.0363636363636364,0.0909090909090909
Anseriformes,North,0,0,35,16,0,0
Anseriformes,Northeast,1,1,35,16,0.0285714285714286,0.0625
Anseriformes,East,19,8,35,16,0.542857142857143,0.5
Anseriformes,Southeast,7,5,35,16,0.2,0.3125
Anseriformes,South,2,2,35,16,0.0571428571428571,0.125
Anseriformes,Southwest,3,2,35,16,0.0857142857142857,0.125
Anseriformes,West,3,2,35,16,0.0857142857142857,0.125
Anseriformes,Northwest,0,0,35,16,0,0
Charadriiformes,North,0,0,32,18,0,0
Charadriiformes,Northeast,13,6,32,18,0.40625,0.333333333333333
Charadriiformes,East,11,8,32,18,0.34375,0.444444444444444
Charadriiformes,Southeast,3,3,32,18,0.09375,0.166666666666667
Charadriiformes,South,1,1,32,18,0.03125,0.0555555555555556
Charadriiformes,Southwest,3,3,32,18,0.09375,0.166666666666667
Charadriiformes,West,1,1,32,18,0.03125,0.0555555555555556
Charadriiformes,Northwest,0,0,32,18,0,0
Columbiformes,North,1,1,18,9,0.0555555555555556,0.111111111111111
Columbiformes,Northeast,8,5,18,9,0.444444444444444,0.555555555555556
Columbiformes,East,6,5,18,9,0.333333333333333,0.555555555555556
Columbiformes,Southeast,0,0,18,9,0,0
Columbiformes,South,0,0,18,9,0,0
Columbiformes,Southwest,1,1,18,9,0.0555555555555556,0.111111111111111
Columbiformes,West,0,0,18,9,0,0
Columbiformes,Northwest,2,2,18,9,0.111111111111111,0.222222222222222
Gruiformes,North,2,1,16,9,0.125,0.111111111111111
Gruiformes,Northeast,4,3,16,9,0.25,0.333333333333333
Gruiformes,East,5,2,16,9,0.3125,0.222222222222222
Gruiformes,Southeast,1,1,16,9,0.0625,0.111111111111111
Gruiformes,South,1,1,16,9,0.0625,0.111111111111111
Gruiformes,Southwest,3,3,16,9,0.1875,0.333333333333333
Gruiformes,West,0,0,16,9,0,0
Gruiformes,Northwest,0,0,16,9,0,0
Coraciiformes,North,1,1,15,8,0.0666666666666667,0.125
Coraciiformes,Northeast,6,4,15,8,0.4,0.5
Coraciiformes,East,5,3,15,8,0.333333333333333,0.375
Coraciiformes,Southeast,0,0,15,8,0,0
Coraciiformes,South,0,0,15,8,0,0
Coraciiformes,Southwest,0,0,15,8,0,0
Coraciiformes,West,2,2,15,8,0.133333333333333,0.25
Coraciiformes,Northwest,1,1,15,8,0.0666666666666667,0.125
Strigiformes,North,3,3,14,10,0.214285714285714,0.3
Strigiformes,Northeast,3,3,14,10,0.214285714285714,0.3
Strigiformes,East,4,4,14,10,0.285714285714286,0.4
Strigiformes,Southeast,0,0,14,10,0,0
Strigiformes,South,0,0,14,10,0,0
Strigiformes,Southwest,3,2,14,10,0.214285714285714,0.2
Strigiformes,West,1,1,14,10,0.0714285714285714,0.1
Strigiformes,Northwest,0,0,14,10,0,0
Pelecaniformes,North,1,1,13,11,0.0769230769230769,0.0909090909090909
Pelecaniformes,Northeast,5,3,13,11,0.384615384615385,0.272727272727273
Pelecaniformes,East,2,2,13,11,0.153846153846154,0.181818181818182
Pelecaniformes,Southeast,1,1,13,11,0.0769230769230769,0.0909090909090909
Pelecaniformes,South,0,0,13,11,0,0
Pelecaniformes,Southwest,2,2,13,11,0.153846153846154,0.181818181818182
Pelecaniformes,West,1,1,13,11,0.0769230769230769,0.0909090909090909
Pelecaniformes,Northwest,1,1,13,11,0.0769230769230769,0.0909090909090909
Cuculiformes,North,3,3,11,5,0.272727272727273,0.6
Cuculiformes,Northeast,6,3,11,5,0.545454545454545,0.6
Cuculiformes,East,0,0,11,5,0,0
Cuculiformes,Southeast,0,0,11,5,0,0
Cuculiformes,South,0,0,11,5,0,0
Cuculiformes,Southwest,0,0,11,5,0,0
Cuculiformes,West,0,0,11,5,0,0
Cuculiformes,Northwest,2,2,11,5,0.181818181818182,0.4
Piciformes,North,1,1,10,7,0.1,0.142857142857143
Piciformes,Northeast,4,4,10,7,0.4,0.571428571428571
Piciformes,East,4,4,10,7,0.4,0.571428571428571
Piciformes,Southeast,0,0,10,7,0,0
Piciformes,South,0,0,10,7,0,0
Piciformes,Southwest,0,0,10,7,0,0
Piciformes,West,0,0,10,7,0,0
Piciformes,Northwest,1,1,10,7,0.1,0.142857142857143
Ciconiiformes,North,1,1,9,4,0.111111111111111,0.25
Ciconiiformes,Northeast,4,1,9,4,0.444444444444444,0.25
Ciconiiformes,East,1,1,9,4,0.111111111111111,0.25
Ciconiiformes,Southeast,1,1,9,4,0.111111111111111,0.25
Ciconiiformes,South,0,0,9,4,0,0
Ciconiiformes,Southwest,2,1,9,4,0.222222222222222,0.25
Ciconiiformes,West,0,0,9,4,0,0
Ciconiiformes,Northwest,0,0,9,4,0,0
Galliformes,North,0,0,9,8,0,0
Galliformes,Northeast,4,4,9,8,0.444444444444444,0.5
Galliformes,East,2,2,9,8,0.222222222222222,0.25
Galliformes,Southeast,1,1,9,8,0.111111111111111,0.125
Galliformes,South,2,2,9,8,0.222222222222222,0.25
Galliformes,Southwest,0,0,9,8,0,0
Galliformes,West,0,0,9,8,0,0
Galliformes,Northwest,0,0,9,8,0,0
Podicipediformes,North,0,0,5,3,0,0
Podicipediformes,Northeast,0,0,5,3,0,0
Podicipediformes,East,5,3,5,3,1,1
Podicipediformes,Southeast,0,0,5,3,0,0
Podicipediformes,South,0,0,5,3,0,0
Podicipediformes,Southwest,0,0,5,3,0,0
Podicipediformes,West,0,0,5,3,0,0
Podicipediformes,Northwest,0,0,5,3,0,0
Caprimulgiformes,North,1,1,3,3,0.333333333333333,0.333333333333333
Caprimulgiformes,Northeast,1,1,3,3,0.333333333333333,0.333333333333333
Caprimulgiformes,East,0,0,3,3,0,0
Caprimulgiformes,Southeast,0,0,3,3,0,0
Caprimulgiformes,South,1,1,3,3,0.333333333333333,0.333333333333333
Caprimulgiformes,Southwest,0,0,3,3,0,0
Caprimulgiformes,West,0,0,3,3,0,0
Caprimulgiformes,Northwest,0,0,3,3,0,0
Gaviiformes,North,0,0,3,1,0,0
Gaviiformes,Northeast,0,0,3,1,0,0
Gaviiformes,East,0,0,3,1,0,0
