model,structure,term,estimate,se,HR,lo,hi,P,AIC,n,events,note
M1,species+province+province:year,(Intercept),-6.01370411151947,0.0958585908175288,0.00244501477893478,0.0020262125864346,0.00295038008806805,0,8313.15361099188,175901,649,"Main model: the difference dT - dN, symmetry imposed"
M1,species+province+province:year,x_z,0.308695394262358,0.0575963494240557,1.36164754167317,1.21629159022553,1.52437461760366,8.33903878612454e-08,8313.15361099188,175901,649,"Main model: the difference dT - dN, symmetry imposed"
M1,species+province+province:year,effort_z,0.339194945193539,0.061142873821305,1.4038169859134,1.24527316128327,1.58254605592572,2.89651690863056e-08,8313.15361099188,175901,649,"Main model: the difference dT - dN, symmetry imposed"
M1,species+province+province:year,clim_var_z,-0.00491632553875464,0.0464198970058713,0.995095739809156,0.908555481495667,1.08987899094091,0.91565385817717,8313.15361099188,175901,649,"Main model: the difference dT - dN, symmetry imposed"
M1,species+province+province:year,x_z:effort_z,-0.163404087342241,0.0562120823301359,0.84924794872335,0.760651657734799,0.948163421556983,0.00365005267236242,8313.15361099188,175901,649,"Main model: the difference dT - dN, symmetry imposed"
M2,species+province+province:year,(Intercept),-6.00906080451765,0.0976398773038947,0.00245639413164624,0.00202854809891083,0.00297447821583614,0,8315.42125218307,175901,649,"Mundlak: within = -dN (species dimension), between = dT net of prov-year shrinkage"
M2,species+province+province:year,x_within_z,0.109055623456281,0.0438187528574658,1.11522438125086,1.02344139784499,1.21523853066254,0.0128179067636884,8315.42125218307,175901,649,"Mundlak: within = -dN (species dimension), between = dT net of prov-year shrinkage"
M2,species+province+province:year,x_between_z,0.369752360623035,0.0797568552517408,1.44737614295303,1.23791550946649,1.69227841736342,3.55225016293154e-06,8315.42125218307,175901,649,"Mundlak: within = -dN (species dimension), between = dT net of prov-year shrinkage"
M2,species+province+province:year,effort_z,0.297210243603193,0.059252285750162,1.34609827825209,1.19850597890064,1.51186611215349,5.27547236680169e-07,8315.42125218307,175901,649,"Mundlak: within = -dN (species dimension), between = dT net of prov-year shrinkage"
M2,species+province+province:year,clim_var_z,0.00734650186053811,0.0459678907795492,1.00737355361,0.920580744500587,1.10234923180298,0.873024350271229,8315.42125218307,175901,649,"Mundlak: within = -dN (species dimension), between = dT net of prov-year shrinkage"
M3,species+province+province:year,(Intercept),-5.976050114044,0.106923368014888,0.00253883462055169,0.00205882485981523,0.0031307574317372,0,8345.30068554059,175901,649,Source warming only: warming of the species' own range (push)
M3,species+province+province:year,dN_z,0.00111401676246432,0.0612947744127561,1.00111463750962,0.887786723490323,1.12890910724117,0.98549945160141,8345.30068554059,175901,649,Source warming only: warming of the species' own range (push)
M3,species+province+province:year,effort_z,0.338228347089003,0.0743072502784651,1.40246071466591,1.21238092951226,1.62234163232218,5.32004393901624e-06,8345.30068554059,175901,649,Source warming only: warming of the species' own range (push)
M3,species+province+province:year,clim_var_z,-0.00135179983789864,0.0457425197029735,0.998649113431937,0.913011193386021,1.09231963308114,0.976424052445624,8345.30068554059,175901,649,Source warming only: warming of the species' own range (push)
M3,species+province+province:year,dN_z:effort_z,-0.0374592264987781,0.0501882955167717,0.963233691330245,0.872992524909165,1.06280307979754,0.455441669756791,8345.30068554059,175901,649,Source warming only: warming of the species' own range (push)
