model,term,estimate,se,p_value,odds_ratio,OR_lo,OR_hi,significant
M1 taxonomic nesting,z_log_mass,-0.0316848585458148,0.125871488758211,0.801254503711872,0.968811846750112,0.756999280118157,1.2398907357704,FALSE
M1 taxonomic nesting,z_log_hwi,-0.0744924362525254,0.140721874775606,0.596556210798056,0.928214494812473,0.704471564721093,1.22301905644848,FALSE
M1 taxonomic nesting,z_log_range,0.235891864406446,0.0986161547772356,0.01675590620124,1.26603739905892,1.04352478707993,1.53599676371953,TRUE
M1 taxonomic nesting,z_log_clutch,0.0629668710950535,0.0836104416225459,0.451390920315524,1.06499155664282,0.904014757111209,1.25463329751925,FALSE
M1 taxonomic nesting,z_log_congeners,-0.0517571255786673,0.0773322523622931,0.503315268215305,0.949559462543844,0.816010268452971,1.10496547379969,FALSE
M1 taxonomic nesting,z_log_habbreadth,-0.110681980780865,0.0763376172947524,0.14708615356153,0.8952234019113,0.770817444760589,1.03970783844748,FALSE
M1 taxonomic nesting,z_log_dietbreadth,-0.0872066140885277,0.083531702337378,0.29648806569873,0.916487716795405,0.77807780710667,1.07951894703212,FALSE
M1 taxonomic nesting,migration_finalPartial migrant,0.911898034984,0.205960789491735,9.53173303674459e-06,2.48904234222893,1.66232111470348,3.72691637410477,TRUE
M1 taxonomic nesting,migration_finalMigratory,0.358581777077598,0.208893270686408,0.0860561437382011,1.4312980747161,0.950422141637373,2.15547817010733,FALSE
M1 taxonomic nesting,trophic_nicheOmnivore,-0.0530520037214537,0.232136234624046,0.81922784067329,0.948330694474668,0.601674291816359,1.49471419722433,FALSE
M1 taxonomic nesting,trophic_nicheAquatic predator,-0.0696133068611557,0.309658998819643,0.822129931979949,0.932754439918955,0.508370409499756,1.71141126416986,FALSE
M1 taxonomic nesting,trophic_nicheGranivore,-0.340901736508963,0.325024615954322,0.294247631013578,0.711128782770066,0.376081281865911,1.34466715060906,FALSE
M1 taxonomic nesting,trophic_nicheVertivore/Scavenger,0.143711775980493,0.427990525554515,0.737034804324077,1.15455129115037,0.498999765033062,2.67132126566969,FALSE
M1 taxonomic nesting,trophic_nicheFrugivore/Nectarivore,-0.253103309716509,0.389500939947114,0.515812132560865,0.776387669290426,0.361850132313063,1.66582172893808,FALSE
M1 taxonomic nesting,trophic_nicheHerbivore,0.0548793686182104,0.464770796493255,0.906005577900352,1.05641317040827,0.424827789857621,2.62696747542359,FALSE
M1 taxonomic nesting,habitat_densitySemi-open,0.11220643528725,0.17245306554818,0.515273014647138,1.11874378500337,0.797876406031511,1.5686485363176,FALSE
M1 taxonomic nesting,habitat_densityOpen,-0.230506181503322,0.213054372456312,0.279291425093595,0.794131526060394,0.523042397876384,1.20572420752793,FALSE
M1 taxonomic nesting,iucn_groupNear Threatened,0.0375403482230028,0.321176172510731,0.906951995953666,1.03825388793611,0.553239128828928,1.94847233256306,FALSE
M1 taxonomic nesting,iucn_groupThreatened,0.220926564984096,0.283245255664466,0.435400713831424,1.24723183671124,0.715886147799578,2.17295342183602,FALSE
M1 taxonomic nesting,endemic_finalEndemic,0.0116041951345597,0.348391947896675,0.973429074629341,1.01167178499589,0.511072396472085,2.0026121692774,FALSE
M2 phylogenetic eigenvectors,z_log_mass,-0.0661456389325728,0.134783461184757,0.623599838429591,0.935994537119308,0.718692835784751,1.21899889618432,FALSE
M2 phylogenetic eigenvectors,z_log_hwi,-0.0360494210531488,0.110830191614757,0.744978887392801,0.964592621121928,0.77625314313295,1.19862822193238,FALSE
M2 phylogenetic eigenvectors,z_log_range,0.21045665575046,0.0961505925301049,0.028609686661574,1.23424155478882,1.02224531210396,1.49020220247547,TRUE
M2 phylogenetic eigenvectors,z_log_clutch,0.115300063065078,0.0812950729708525,0.156105849315222,1.12221012086483,0.956917326017075,1.31605471144849,FALSE
M2 phylogenetic eigenvectors,z_log_congeners,-0.0456379188246458,0.0738752911106712,0.536727137976947,0.955387827518781,0.826600733610259,1.10424037126662,FALSE
M2 phylogenetic eigenvectors,z_log_habbreadth,-0.0888708634094222,0.0752292691381711,0.237470224088459,0.914963721241158,0.789527802231633,1.06032822254163,FALSE
M2 phylogenetic eigenvectors,z_log_dietbreadth,-0.0941480485377428,0.0815528475443857,0.248318923462991,0.910148006184349,0.77569829482755,1.0679015265149,FALSE
M2 phylogenetic eigenvectors,migration_finalPartial migrant,0.915815162024306,0.202236878670223,5.94240974582872e-06,2.49881135803892,1.6810706461889,3.71433420553741,TRUE
M2 phylogenetic eigenvectors,migration_finalMigratory,0.403637164222936,0.200977075375685,0.0446035470285321,1.49726058868003,1.00976950959368,2.22009998233809,TRUE
M2 phylogenetic eigenvectors,trophic_nicheOmnivore,0.0276973494144102,0.224127979962463,0.901649193691979,1.02808448695974,0.662593571356331,1.59518256442433,FALSE
M2 phylogenetic eigenvectors,trophic_nicheAquatic predator,0.263068740292177,0.332378950878415,0.428668420875189,1.30091614123388,0.678145099125243,2.49560574677291,FALSE
M2 phylogenetic eigenvectors,trophic_nicheGranivore,-0.330728381167039,0.301779742342031,0.273110992670434,0.718400273586247,0.397636631797,1.29791601632988,FALSE
M2 phylogenetic eigenvectors,trophic_nicheVertivore/Scavenger,-0.238837267043674,0.494786578827856,0.629303330210321,0.787543031151083,0.298609385841478,2.07704129649794,FALSE
M2 phylogenetic eigenvectors,trophic_nicheFrugivore/Nectarivore,-0.143471668324736,0.382949895917689,0.707921773227819,0.866345344854524,0.408994543410314,1.83512046467116,FALSE
M2 phylogenetic eigenvectors,trophic_nicheHerbivore,0.246678078584898,0.520049293232724,0.635260355179061,1.27976706203424,0.461802237846892,3.54654784849863,FALSE
M2 phylogenetic eigenvectors,habitat_densitySemi-open,0.117348035864321,0.168128518938216,0.485198286125166,1.12451073165746,0.808815973974965,1.56342657205226,FALSE
M2 phylogenetic eigenvectors,habitat_densityOpen,-0.23855813025991,0.210037787762411,0.256045835839929,0.787762894064361,0.52192457479251,1.18900394278496,FALSE
M2 phylogenetic eigenvectors,iucn_groupNear Threatened,0.0731598166711321,0.316679559349316,0.817298025962458,1.0759024703267,0.578375411861821,2.00140964141062,FALSE
M2 phylogenetic eigenvectors,iucn_groupThreatened,0.224313747866847,0.282647393274162,0.427418491260784,1.25146360187471,0.719157318813652,2.17777265953551,FALSE
M2 phylogenetic eigenvectors,endemic_finalEndemic,-0.00346134468150313,0.345161688845494,0.991998801483783,0.996544638866301,0.506628008963732,1.96021775283305,FALSE
M3 phyloglm,z_log_mass,-0.0396594454860355,0.105176906086084,0.706118832937764,0.961116696054041,0.782073790672535,1.18114852390012,FALSE
M3 phyloglm,z_log_hwi,-0.0187777647713975,0.0993462812505147,0.850082421903968,0.981397439093956,0.807755006656092,1.19236764306463,FALSE
M3 phyloglm,z_log_range,0.375952567937595,0.0971392450421932,0.000108726533932089,1.45637805311808,1.20389200696851,1.76181669230028,TRUE
M3 phyloglm,z_log_clutch,0.0888668294751534,0.0728660552210066,0.222619729182434,1.09293509989376,0.947478874081511,1.26072165327985,FALSE
M3 phyloglm,z_log_congeners,0.0478456236514796,0.0729609792590047,0.511972101586328,1.04900870069103,0.909229359730881,1.21027685957171,FALSE
M3 phyloglm,z_log_habbreadth,-0.129468642647719,0.0719987636036126,0.0721442944258893,0.878562137366755,0.762932117679034,1.01171704707177,FALSE
M3 phyloglm,z_log_dietbreadth,-0.117153072246465,0.0778942970458043,0.132581203147547,0.889449032780926,0.763512414509543,1.03615811201068,FALSE
M3 phyloglm,migration_finalPartial migrant,0.635852534851806,0.19265688884637,0.000965332941522769,1.88863157955401,1.2946560128363,2.75511735003212,TRUE
M3 phyloglm,migration_finalMigratory,0.21411216139464,0.188763430444406,0.256673611376864,1.23876158822918,0.855675415477545,1.79335557001563,FALSE
M3 phyloglm,trophic_nicheOmnivore,-0.264319060724076,0.21669582971182,0.222552097076321,0.767728548548671,0.502056363874238,1.1739859638634,FALSE
M3 phyloglm,trophic_nicheAquatic predator,-0.214697597100234,0.259429348799362,0.407910458747005,0.806785377529441,0.485207268915832,1.34149401110525,FALSE
M3 phyloglm,trophic_nicheGranivore,-0.194628885077065,0.289217214468312,0.500978747740867,0.823140080946722,0.466967962974106,1.4509766120691,FALSE
M3 phyloglm,trophic_nicheVertivore/Scavenger,-0.0468603141184034,0.356825543239157,0.895517773309557,0.954220679438203,0.474146762887176,1.92036975961422,FALSE
M3 phyloglm,trophic_nicheFrugivore/Nectarivore,-0.32525949635584,0.34881976725989,0.35110030632089,0.722339884751606,0.364602981183175,1.43107691387972,FALSE
M3 phyloglm,trophic_nicheHerbivore,-0.315926918222742,0.442364785673476,0.475117509806392,0.72911273307495,0.306369956799908,1.73517463358595,FALSE
M3 phyloglm,habitat_densitySemi-open,-0.0100276829992974,0.161146735394711,0.950382036076799,0.990022426579674,0.721895213431996,1.35773778090446,FALSE
M3 phyloglm,habitat_densityOpen,-0.614259468579946,0.199773497560831,0.00210658185533345,0.541041405156019,0.365746238384001,0.800352187862732,TRUE
M3 phyloglm,iucn_groupNear Threatened,0.219743985925394,0.290803831991577,0.449863049067633,1.24575775823876,0.704524955850609,2.20277845280634,FALSE
M3 phyloglm,iucn_groupThreatened,0.128042823873064,0.275604012745438,0.642225210266924,1.13660167534075,0.662230867689741,1.95077492067712,FALSE
M3 phyloglm,endemic_finalEndemic,0.0170404568277878,0.325999519970282,0.958312428155625,1.0171864736308,0.536913325615133,1.92706769002625,FALSE
