group,n,n_events,term,estimate,se,p_value,grouping,odds_ratio,OR_lo,OR_hi,significant
Passeriformes,710,203,z_log_mass,-0.152345977570385,0.109639034158873,0.16467372232879,Taxonomic,0.858691141467489,0.692644440367673,1.06454399033844,FALSE
Passeriformes,710,203,z_log_hwi,0.126914698238933,0.122041995201926,0.298374075075243,Taxonomic,1.13532016884108,0.893787156298849,1.4421239740285,FALSE
Passeriformes,710,203,z_log_range,0.427044080372151,0.138156947776156,0.00199478991056147,Taxonomic,1.53272022311278,1.16912600189181,2.00939101391766,TRUE
Passeriformes,710,203,z_log_clutch,0.0825073894520462,0.102463883642258,0.420684735380934,Taxonomic,1.08600669840383,0.888410096257034,1.32755194244973,FALSE
Passeriformes,710,203,z_log_congeners,0.0311071754072952,0.096688181472123,0.747659702876738,Taxonomic,1.03159605968985,0.85350689329462,1.24684456414844,FALSE
Passeriformes,710,203,z_log_habbreadth,-0.113483446680012,0.100222053731898,0.257499879408131,Taxonomic,0.89271897375171,0.73350660842802,1.08648941528181,FALSE
Passeriformes,710,203,z_log_dietbreadth,-0.208447224980899,0.113716171194904,0.0667954007314501,Taxonomic,0.811843878648191,0.649643894702755,1.01454117967214,FALSE
Passeriformes,710,203,migration_finalPartial migrant,0.6978919112557,0.263441415179852,0.00806980547085925,Taxonomic,2.00951200950836,1.19907057696503,3.36772379702559,TRUE
Passeriformes,710,203,migration_finalMigratory,0.341735554460092,0.248825789465635,0.169630258451347,Taxonomic,1.40738807080118,0.864189683753367,2.29202132248406,FALSE
Passeriformes,710,203,trophic_nicheOmnivore,0.0536946980880634,0.273022365370763,0.844087538075936,Taxonomic,1.05516240987348,0.617899696534908,1.80185832337129,FALSE
Passeriformes,710,203,trophic_nicheAquatic predator,0.707108090589161,0.73417516657327,0.335480947060257,Taxonomic,2.02811763726827,0.481006143843545,8.55136925639047,FALSE
Passeriformes,710,203,trophic_nicheGranivore,-0.354348385974187,0.322835449548974,0.272373514212341,Taxonomic,0.701630486550449,0.372653641018558,1.32102651220978,FALSE
Passeriformes,710,203,trophic_nicheVertivore/Scavenger,-12.651359656013,880.171912860105,0.988531812004586,Taxonomic,3.20320189569441e-06,0,Inf,FALSE
Passeriformes,710,203,trophic_nicheFrugivore/Nectarivore,-0.167148295806924,0.525712904873113,0.750525926741566,Taxonomic,0.846074132787208,0.301934374150628,2.3708510837342,FALSE
Passeriformes,710,203,habitat_densitySemi-open,0.199936840268525,0.198913706109784,0.314827704404137,Taxonomic,1.22132561712607,0.827013695441633,1.80364154943266,FALSE
Passeriformes,710,203,habitat_densityOpen,-0.322778398228141,0.26129562081547,0.216718990732107,Taxonomic,0.724134306034353,0.43391014086108,1.20847715643441,FALSE
Passeriformes,710,203,iucn_groupNear Threatened,0.314145651985106,0.624406064860283,0.614886129427583,Taxonomic,1.36908913257576,0.402648931207071,4.65518447377446,FALSE
Passeriformes,710,203,iucn_groupThreatened,0.445331737594597,0.495357108297529,0.368646534541008,Taxonomic,1.56100795497196,0.591219341234941,4.12155974193244,FALSE
Passeriformes,710,203,endemic_finalEndemic,0.199207591997366,0.397027035788315,0.615844669874236,Taxonomic,1.22043529220467,0.560477938213786,2.65748605057594,FALSE
Non-passerines,588,131,z_log_mass,0.171470719693447,0.133042159216507,0.197451983332375,Taxonomic,1.18704938505354,0.914578557808556,1.54069459700908,FALSE
Non-passerines,588,131,z_log_hwi,-0.251417239490864,0.15821976927732,0.112051794192431,Taxonomic,0.777697817613837,0.570336930142512,1.06045017174357,FALSE
Non-passerines,588,131,z_log_range,0.0432423036034359,0.130394718479964,0.74017154141302,Taxonomic,1.04419087541211,0.808696695871292,1.34826145557474,FALSE
Non-passerines,588,131,z_log_clutch,-0.0298057750056015,0.121828384079921,0.806724516641051,Taxonomic,0.970634036632238,0.76445707132766,1.23241770977769,FALSE
Non-passerines,588,131,z_log_congeners,-0.127838526884146,0.115135519317273,0.266856454608417,Taxonomic,0.879995463282344,0.702223082045724,1.10277208937869,FALSE
Non-passerines,588,131,z_log_habbreadth,-0.101914736545808,0.119560911664094,0.393987407903985,Taxonomic,0.90310655037023,0.714441526430141,1.14159299417679,FALSE
Non-passerines,588,131,z_log_dietbreadth,0.0721736369250064,0.127360383410933,0.570925983229274,Taxonomic,1.07484196011445,0.837400595254841,1.37960881060885,FALSE
Non-passerines,588,131,migration_finalPartial migrant,1.15966297449601,0.322813013625354,0.000327687297614717,Taxonomic,3.18885836839193,1.69375755777401,6.00370321418814,TRUE
Non-passerines,588,131,migration_finalMigratory,0.326594864029861,0.355736385083845,0.358576390731355,Taxonomic,1.38623974781452,0.690286568644812,2.78385923427936,FALSE
Non-passerines,588,131,trophic_nicheOmnivore,0.15103275121269,0.413596389529747,0.714984948165953,Taxonomic,1.16303474825647,0.517049754445536,2.61609219233171,FALSE
Non-passerines,588,131,trophic_nicheAquatic predator,0.315080862050484,0.380324910289274,0.407414672905714,Taxonomic,1.37037011741453,0.650277579336958,2.88786561058663,FALSE
Non-passerines,588,131,trophic_nicheGranivore,-1.27118186477999,1.12925360665681,0.260299618068658,Taxonomic,0.280499912831663,0.0306685084630374,2.56550465091572,FALSE
Non-passerines,588,131,trophic_nicheVertivore/Scavenger,0.732349229821632,0.432635760082285,0.0905008421834609,Taxonomic,2.07996117946775,0.890816465395854,4.85648691525974,FALSE
Non-passerines,588,131,trophic_nicheFrugivore/Nectarivore,-0.0785577607450557,0.545743263365725,0.88554282038973,Taxonomic,0.924448661545946,0.317202611289827,2.69419386038169,FALSE
Non-passerines,588,131,trophic_nicheHerbivore,0.0547788457903294,0.547963599318401,0.92036970046796,Taxonomic,1.05630698210624,0.360872774175082,3.09190529265321,FALSE
Non-passerines,588,131,habitat_densitySemi-open,0.0713726892753953,0.317861948989641,0.822337226057542,Taxonomic,1.07398141264553,0.576006271258299,2.00247138314724,FALSE
Non-passerines,588,131,habitat_densityOpen,-0.500632871871061,0.37048256211995,0.176599537277467,Taxonomic,0.606146924959439,0.293235659787052,1.25296525976616,FALSE
Non-passerines,588,131,iucn_groupNear Threatened,0.0887417150333776,0.359643472649499,0.805102379381122,Taxonomic,1.09279836648268,0.540014390146389,2.2114378645789,FALSE
Non-passerines,588,131,iucn_groupThreatened,0.238608881519865,0.333251329532467,0.473989626529447,Taxonomic,1.26948192163278,0.660628433933621,2.43947167056751,FALSE
Non-passerines,588,131,endemic_finalEndemic,0.128167485143066,0.580515145660119,0.825261924475479,Taxonomic,1.13674337438109,0.364349320311203,3.54655663442875,FALSE
All species,1298,334,z_log_mass,-0.040746343800655,0.105047272843158,0.698100558725259,Taxonomic,0.96007262743794,0.781422737342284,1.17956568948907,FALSE
All species,1298,334,z_log_hwi,-0.0204859526550651,0.0992601081531572,0.836488965358566,Taxonomic,0.979722458877175,0.806512595032723,1.19013156439224,FALSE
All species,1298,334,z_log_range,0.367943455383298,0.0968613553677487,0.000145479899742437,Taxonomic,1.44476034324434,1.1949390726607,1.74681077652249,TRUE
All species,1298,334,z_log_clutch,0.091659630658182,0.0727132089776114,0.207466089404293,Taxonomic,1.09599171660837,0.950413373586696,1.26386883461145,FALSE
All species,1298,334,z_log_congeners,0.0414611839422215,0.0728718398806166,0.569383081478104,Taxonomic,1.04233270181985,0.903600788088188,1.20236444634114,FALSE
All species,1298,334,z_log_habbreadth,-0.135219839966246,0.0719677993012038,0.0602590182502432,Taxonomic,0.873523855123128,0.758602976092812,1.0058541154152,FALSE
All species,1298,334,z_log_dietbreadth,-0.108973393967248,0.0778237696852976,0.161435927361531,Taxonomic,0.896754276254486,0.769889729716218,1.04452391159592,FALSE
All species,1298,334,migration_finalPartial migrant,0.646274915005369,0.192621996097414,0.000793231148951682,Taxonomic,1.90841855039761,1.30830944350014,2.78379200088785,TRUE
All species,1298,334,migration_finalMigratory,0.217205003095626,0.188714184603634,0.249743186738429,Taxonomic,1.24259881263186,0.858408832069945,1.79873709527292,FALSE
All species,1298,334,trophic_nicheOmnivore,-0.265705286565267,0.216419107322576,0.219546508552343,Taxonomic,0.766665040696991,0.5016328823351,1.1717239944296,FALSE
All species,1298,334,trophic_nicheAquatic predator,-0.216208693993958,0.259295499466306,0.404376075205401,Taxonomic,0.805567167300207,0.484601743425195,1.33911705815448,FALSE
All species,1298,334,trophic_nicheGranivore,-0.197868197507886,0.28893379605764,0.493456300249469,Taxonomic,0.820477987054933,0.465716388836238,1.44548086212708,FALSE
All species,1298,334,trophic_nicheVertivore/Scavenger,-0.0445231365405033,0.356831907877109,0.900702932837813,Taxonomic,0.956453470813157,0.475250295431632,1.92488726598201,FALSE
All species,1298,334,trophic_nicheFrugivore/Nectarivore,-0.32786048182941,0.348775382645049,0.347200468304677,Taxonomic,0.720463530447345,0.363687523549327,1.42723537403463,FALSE
All species,1298,334,trophic_nicheHerbivore,-0.318283775773732,0.441043007149717,0.470502593299934,Taxonomic,0.727396341664022,0.306441603159254,1.72661098366344,FALSE
All species,1298,334,habitat_densitySemi-open,-0.00432949510125797,0.161101616039587,0.978559982129768,Taxonomic,0.995679863651562,0.726084657710542,1.36537575936002,FALSE
All species,1298,334,habitat_densityOpen,-0.60564019334982,0.199631070927662,0.00241496673448625,Taxonomic,0.545724945303018,0.36901532952806,0.807055133202361,TRUE
All species,1298,334,iucn_groupNear Threatened,0.221169427179302,0.290455293606212,0.446383719923522,Taxonomic,1.24753477895816,0.706012067902354,2.20441419554521,FALSE
All species,1298,334,iucn_groupThreatened,0.12820793661876,0.275461096177847,0.641623350293824,Taxonomic,1.13678935825812,0.662525777867656,1.95055058719096,FALSE
All species,1298,334,endemic_finalEndemic,0.0118128628916249,0.325296775494212,0.97103189919873,Taxonomic,1.0118829103049,0.534850068542619,1.91438140216959,FALSE
Resident,567,116,z_log_mass,-0.240822885121457,0.15900287462298,0.129878304142547,Migratory strategy,0.785980822959085,0.575527354992503,1.07339094953617,FALSE
Resident,567,116,z_log_hwi,0.0240282559554626,0.13044675115899,0.853856773615013,Migratory strategy,1.02431926060112,0.7932257841944,1.32273807602464,FALSE
