trait,before_imputation,after_imputation,n_imputed
flocking_c,89.9,100,146
tarsus_cn,90.17,100,142
wing_cn,91.42,100,124
nest_type_c,93.36,100,96
nest_site_c,93.56,100,93
clutch_final,95.09,100,71
iucn_group,95.99,100,58
diet_breadth,96.54,100,50
esi,96.54,100,50
habitat_breadth,96.54,100,50
habitat_density,97.23,100,40
hwi_final,97.23,100,40
trophic_niche,97.23,100,40
length_cn,98.48,100,22
mass_g_final,99.45,100,8
diet_n_china,100,100,0
endemic_final,100,100,0
migration_final,100,100,0
n_congeners,100,100,0
provinces_final,100,100,0
