baseline,window,n,events,AIC,sd_change_degC,sd_var_degC,cor_change_var,HR_change,lo_change,hi_change,P_change,HR_effort,lo_effort,hi_effort,P_effort,HR_var,P_var,HR_int,lo_int,hi_int,P_int,dAIC_within_baseline
1980-2000,3,175901,649,8335.94229774644,0.279842613032242,0.288861069286122,-0.0239455274936274,1.14293390133175,1.03389464359854,1.26347293788732,0.00901213925047734,1.39146243623129,1.2324619855597,1.57097560340852,9.49415990604302e-08,1.01288547681059,0.778875846564006,0.901248286114958,0.81300239072389,0.999072674930181,0.0479686147857133,24.9915409414298
1980-2000,5,175901,649,8334.74548266211,0.244518469375573,0.307624841763943,0.0229924117328116,1.16688258864804,1.05351002528718,1.29245564162408,0.00308014678517869,1.39204024243376,1.23351183283087,1.5709423979403,8.22440203186643e-08,1.01022071007439,0.824095400938895,0.897275252238237,0.807167727727897,0.997441858268395,0.0447030841017108,23.7947258571003
1980-2000,8,175901,649,8330.77846567002,0.219916415869241,0.324285113142587,0.0305489663130422,1.20830521583224,1.08562282885723,1.34485150440716,0.000532280523840834,1.39804561789098,1.23837375124154,1.57830505349829,6.1185236772633e-08,1.00424734741369,0.926801187873132,0.880668529510322,0.79320699588577,0.977773850826656,0.0172570689862845,19.8277088650102
1980-2000,10,175901,649,8327.85144837077,0.204928072940323,0.340835089204242,-0.0020242308681445,1.21277480686977,1.08603687455018,1.35430275586838,0.000613398273973735,1.40673126488733,1.24618748126525,1.58795757569505,3.39416969986303e-08,1.02214489343859,0.632978607416345,0.84678145653407,0.762195425510676,0.940754577016178,0.0019520455596201,16.9006915657592
1980-2000,12,175901,649,8322.39955938282,0.19300166645387,0.344902901465354,0.0125711761846605,1.28770587234635,1.15174287623914,1.43971927058048,8.93294445397355e-06,1.40181444862164,1.24248690466599,1.58157300570716,4.08741609599577e-08,1.00034868116333,0.993942442155946,0.863409231635232,0.775819292127859,0.960888068700003,0.00712294993573369,11.4488025778101
1980-2000,15,175901,649,8313.15364906552,0.179344973255465,0.35561002852531,-0.00581566874460472,1.36164134171515,1.21628621340131,1.52436747456258,8.34239779317077e-08,1.40381252459713,1.24526952520608,1.58254061817634,2.89717992204523e-08,0.995099386708828,0.915716397832861,0.849249337328143,0.760653017030478,0.948164827857894,0.00365034532035998,2.20289226050954
1980-2000,18,175901,649,8311.12747431617,0.164766303364081,0.360815339463649,0.00458919821247705,1.38364939601364,1.23436462742146,1.5509887504539,2.4787037074755e-08,1.40017909970208,1.24269241051753,1.57762411249141,3.21800612695357e-08,1.00470062857824,0.920332097100068,0.829671817592622,0.746266534006133,0.922398759076323,0.000551588059268923,0.17671751115995
1980-2000,20,175901,649,8310.95075680501,0.154154569885122,0.360154997655603,0.0396801545411617,1.39642741333598,1.24401329629328,1.56751501493318,1.48903144026322e-08,1.39988820695693,1.24275445004292,1.5768899414598,3.06488949390947e-08,1.00000197565334,0.999966386875735,0.823331776653642,0.740418410804047,0.915529928154425,0.00033115682545004,0
1980-2000,23,175901,649,8315.02210786992,0.137697747939339,0.365527072502769,0.0527553456600384,1.38750329083451,1.23082734886635,1.5641230135565,8.44614730567408e-08,1.3921329363514,1.2360875066356,1.56787776113791,4.91632204488717e-08,1.01857531927579,0.69457225503819,0.814537647868077,0.730660600211943,0.908043460400089,0.000215763828574813,4.07135106490932
1981-2010,3,175901,649,8338.78551228971,0.246216380644395,0.288861069286122,-0.0246311749164729,1.09502957508828,0.99582360108374,1.20411865014353,0.0609823479482953,1.39383157407462,1.23545028598867,1.57251690247709,6.82691745505067e-08,1.01155770880835,0.800773365331826,0.896903134789127,0.810071516011595,0.99304224046195,0.0362247584426118,23.12575263283
