scheme,fold,model,auc,prauc,brier,cal_slope,n_test,n_event
random,1,XGBoost(同信息),0.641893063417538,0.0100880697809364,0.00364954866313473,0.584027661958809,35181,129
random,1,XGBoost(加结构),0.680904870460578,0.0106656025782544,0.00364528247029792,0.73065610728697,35181,129
random,1,XGBoost(类平衡),0.680859201876951,0.0093923767684855,0.118091465075395,0.551867051125628,35181,129
random,2,XGBoost(同信息),0.635803541467715,0.00599232605342471,0.0038882102232166,0.51867559235524,35180,137
random,2,XGBoost(加结构),0.680280597913994,0.00735830124392375,0.00388436680772366,0.645179024955039,35180,137
random,2,XGBoost(类平衡),0.687795557116367,0.00814218244387755,0.117549719985291,0.553435985004174,35180,137
random,3,XGBoost(同信息),0.630598417037762,0.00575181922362722,0.00320732896333955,0.555697783692845,35180,113
random,3,XGBoost(加结构),0.690670400606104,0.00750189758128176,0.00320266472353541,0.727636186244889,35180,113
random,3,XGBoost(类平衡),0.705433669201159,0.00704533841031353,0.116771010601493,0.640491503508732,35180,113
random,4,XGBoost(同信息),0.651758375513184,0.0167268993208737,0.00355542493922683,0.700669249026834,35180,126
random,4,XGBoost(加结构),0.712191100171151,0.015723128237075,0.00354980332463113,0.882208371989503,35180,126
random,4,XGBoost(类平衡),0.707609167171542,0.0143490107171671,0.117769925876214,0.682584983481632,35180,126
random,5,XGBoost(同信息),0.634941064587606,0.00950755566882934,0.00407262928839225,0.581854062579296,35180,144
random,5,XGBoost(加结构),0.709975889878266,0.0116586000944361,0.00406567600603522,0.789882115273062,35180,144
random,5,XGBoost(类平衡),0.695667888425862,0.00953852698209812,0.114347696264862,0.585158876446937,35180,144
leave_species,1,XGBoost(同信息),0.64266950292933,0.00807649506793905,0.0037417408982801,0.602912276402862,35915,135
leave_species,1,XGBoost(加结构),0.693525557418742,0.00949298587121735,0.00373902917560053,0.720672437044834,35915,135
leave_species,1,XGBoost(类平衡),0.689237003912774,0.00878702467415354,0.115566073033484,0.552045121723014,35915,135
leave_species,2,XGBoost(同信息),0.666311751249081,0.00743961103203251,0.00324147044077521,0.704334131146759,38112,124
leave_species,2,XGBoost(加结构),0.72183979151308,0.0123707360470229,0.00323466714301169,0.885708334559222,38112,124
leave_species,2,XGBoost(类平衡),0.693026575455002,0.0171038385057226,0.114283816089585,0.612930911294325,38112,124
leave_species,3,XGBoost(同信息),0.632516771540997,0.0102853734438138,0.00401036344031169,0.573826162372671,32754,132
leave_species,3,XGBoost(加结构),0.679003804831339,0.0141666639582186,0.00400253843330991,0.711552548193432,32754,132
leave_species,3,XGBoost(类平衡),0.68505660801507,0.015951484809283,0.119508725681027,0.593197596472277,32754,132
leave_species,4,XGBoost(同信息),0.644921266244984,0.00749801750873045,0.00350329726617451,0.61405072588682,34699,122
leave_species,4,XGBoost(加结构),0.688415780982104,0.00894699243116857,0.00350033753225794,0.708028119321935,34699,122
leave_species,4,XGBoost(类平衡),0.704087859028808,0.00823844695028251,0.121736282829502,0.597701524299947,34699,122
leave_species,5,XGBoost(同信息),0.625335316421982,0.00618377911944243,0.00394218681329737,0.504109892788128,34421,136
leave_species,5,XGBoost(加结构),0.672788541550624,0.00721196154829626,0.00394741161855482,0.582823369374537,34421,136
leave_species,5,XGBoost(类平衡),0.683331653355548,0.00896260718078904,0.111297976031017,0.568655042306299,34421,136
leave_province,1,XGBoost(同信息),0.605249422730564,0.00361480662229252,0.00274007868061882,0.455805088734149,34316,94
leave_province,1,XGBoost(加结构),0.629072283973071,0.00424544915490263,0.00273983027218764,0.521917743693013,34316,94
leave_province,1,XGBoost(类平衡),0.622565333734574,0.00404314713133614,0.191287162708753,0.373385557335594,34316,94
leave_province,2,XGBoost(同信息),0.607096136402344,0.0060286691510394,0.00449897510458986,0.446378784176723,35438,160
leave_province,2,XGBoost(加结构),0.661863094563191,0.00800984951877467,0.00449189195534907,0.709871719238831,35438,160
leave_province,2,XGBoost(类平衡),0.655493065791726,0.00749241282642458,0.199440019878088,0.575926838212913,35438,160
leave_province,3,XGBoost(同信息),0.571654353651227,0.00511520919521882,0.0038851009965314,0.275261451249354,34931,136
leave_province,3,XGBoost(加结构),0.575740048857593,0.00499864677871275,0.00388607802109612,0.272899870457314,34931,136
leave_province,3,XGBoost(类平衡),0.556607292291773,0.00482145529075789,0.173407044591874,0.161052885748557,34931,136
leave_province,4,XGBoost(同信息),0.52140186642471,0.00351028749163842,0.00344902119748267,0.101485852783179,35424,122
leave_province,4,XGBoost(加结构),0.580248785421546,0.00448022084225437,0.00344201430554175,0.327111435731467,35424,122
leave_province,4,XGBoost(类平衡),0.559935186879323,0.00437392470647493,0.16539445847282,0.221775184300498,35424,122
leave_province,5,XGBoost(同信息),0.64336079644027,0.00665462080585469,0.00381061816571225,0.619678432135064,35792,137
leave_province,5,XGBoost(加结构),0.670303506740841,0.00940478476545839,0.00380531312068897,0.752850918932041,35792,137
leave_province,5,XGBoost(类平衡),0.671878720135218,0.00817263170274826,0.158915001624211,0.618125448287629,35792,137
temporal,2019-2024,XGBoost(同信息),0.560033533682325,0.00613882191646306,0.00500834460165666,0.249272328738134,45580,229
temporal,2019-2024,XGBoost(加结构),0.60877633835033,0.00824174979713615,0.00500076784811086,0.450933935421502,45580,229
temporal,2019-2024,XGBoost(类平衡),0.59224920920076,0.00723786177097388,0.0585212427653921,0.219977039829546,45580,229
